intensity_filename,mask_filename,label,original-mean,original-median,original-min,original-max,original-range,original-standard_deviation,original-skewness,original-kurtosis,original-mean_absolute_deviation,original-energy,original-root_mean_squared,original-entropy,original-mode,original-uniformity,original-p10,original-p25,original-p75,original-p90,original-interquartile_range,original-robust_mean_absolute_deviation,original-weighted_centroid_y,original-weighted_centroid_x
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,1,34307.145,33413,10926,58033,47107,11087.107,0.096264835,2.272433,9015.8597,3.0417757e+11,36054.184,7.6876515,38241,0.0050770692,19731,26459,42307,50313,15848,6602.6268,5.4068533,162.64391
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,2,39277.203,39184.5,21208,53976,32768,8500.6181,-0.046772582,2.0528672,7257.9865,1.1950698e+11,40186.554,6.1283723,26270,0.014609204,28645,32404,45408,52023,13004,5687.9333,2.9508514,185.25829
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,3,27587.471,27048,12648,40980,28332,7762.3503,0.0099904608,1.9392715,6666.6173,6.9812422e+10,28658.727,5.5827478,22680,0.022560554,16771,21405,33522,38673,12117,5391.3118,2.7802276,206.56111
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,4,23718.353,23539,11217,30360,19143,5187.7356,-0.726969,2.9590761,4087.6678,1.0021039e+10,24279.062,3.7345217,23539,0.079584775,15339,21405,28371,30360,6966,3561.8125,3.4816523,255.17252
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,5,28060.37,27887,10305,48893,38588,9550.3036,0.16368737,1.9629127,8176.7709,2.1349802e+11,29641.064,6.2217302,14887,0.015360125,15339,19610,36551,41189,16941,6569.5957,9.8526962,222.82818
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,6,33593.566,33223.5,8756,65459,56703,12137.065,0.18709574,2.4801511,9868.9892,6.1750463e+11,35718.847,8.1774985,18053,0.0040212417,17747,25116,42045,50216,16929,7102.6741,15.913003,63.780617
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,7,32760.652,33832,8248,50039,41791,8956.8629,-0.4329448,2.4804989,7368.6776,4.0718045e+11,33963.005,6.4811966,34901,0.012992641,20038,27048,39459,43493,12411,5447.9694,15.611424,246.78908
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,8,37516.647,38640,15799,55815,40016,9279.1986,-0.29657827,2.0950549,7858.8539,7.2439714e+11,38647.152,8.5287104,26568,0.0030056329,24241,30025,45368,49063,15343,6061.5163,16.80582,185.03898
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,9,17633.674,17051,8163,25689,17526,4815.2879,-0.072009274,2.0675295,4100.3119,1.5370139e+10,18279.318,5.523562,8163,0.02173913,10543,14222,21583,24313,7361,3252.1247,21.056411,160.28624
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,10,31151.969,31098,13584,53165,39581,8928.7426,0.15960465,2.246455,7473.1212,2.6779274e+11,32406.289,6.2349584,25237,0.015824683,19150,24370,37450,43029,13080,5696.9845,23.758013,222.59558
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,11,30870.262,31436,15799,45239,29440,7026.9049,-0.1082688,2.3864284,5828.3659,1.032421e+11,31659.919,5.6477266,27887,0.023470638,21405,26088,36551,39975,10463,4285.327,29.673949,249.20053
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,12,26911.31,26568,14887,43493,28606,6118.9465,0.25159384,2.334913,5085.2504,2.4830119e+11,27598.19,6.00953,20522,0.018913019,18695,21788,31779,35236,9991,4011.5288,36.5571,199.99733
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,13,36251.087,37450,17239,53165,35926,7388.5604,-0.32567566,2.6268612,5972.942,5.5159905e+11,36996.38,6.3964948,32897,0.013773867,25237,31436,41686,44598,10250,4336.1521,38.442652,230.8034
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,14,24145.729,21623,8216,55565,47349,9534.1933,0.93770755,3.6069962,7556.5893,1.7184886e+11,25959.913,7.7188057,17335,0.0051211073,13415,17335,29488,36922,12153,5249.1138,38.905744,175.29203
