,perimeter,convex_perimeter,area_projection,area_filled,area_convex,major_axis_length,minor_axis_length,diameter_max_inclosing_circle,diameter_min_enclosing_circle,diameter_circumscribing_circle,diameter_inscribing_circle,diameter_equal_area,diameter_equal_perimeter,x_max,y_max,width_min_bb,length_min_bb,geodeticlength,thickness,n_erosions,n_erosions_complement,fractal_dimension_boxcounting_method,fractal_dimension_perimeter_method,feret_max,feret_min,feret_median,feret_mean,feret_mode,feret_std,martin_max,martin_min,martin_median,martin_mean,martin_mode,martin_std,nassenstein_max,nassenstein_min,nassenstein_median,nassenstein_mean,nassenstein_mode,nassenstein_std,maxchords_max,maxchords_min,maxchords_median,maxchords_mean,maxchords_mode,maxchords_std,allchords_max,allchords_min,allchords_median,allchords_mean,allchords_mode,allchords_std
0,63.21320344,63.21320344,234,234,244,25.1471594,12.65484789,12.16552544,24.33125114,321.8998975,273.7717349,17.26088218,20.12138759,25,13,13,25,19.7712119,11.83538982,8,2,1.9188782,1.070466244,26,13,21.5,20.45,25,4.030818775,24,12,15.5,17,12,4.549725266,26,2,11,12.5,8,7.074602462,25,13,17.5,18.15,13,4.269367635,25,1,11,11.12142857,10,5.654498239
0,35.89949494,35.89949494,74,74,82,15.1926882,6.576540776,6,14.03586864,367.8632555,339.8457864,9.70668462,11.42716415,15,7,7,15,11.53384981,6.415897661,5,2,1.274399286,1.213788998,15,7,12.5,12,14,2.626785107,15,6,8,9.2,6,3.043024811,15,2,6,7.6,6,3.411744422,15,7,9,10,7,2.846049894,15,1,6,5.807086614,6,3.233405389
0,39.10660172,39.3137085,85,85,88,17.61529787,6.464165305,6,17.02958679,410.8215902,376.8235382,10.4031419,12.44801794,18,6,6,18,13.0297864,6.523514462,4,2,1.699935412,1.042500257,18,6,14,13.4,18,3.706750599,16,6,8.5,10.05,7,3.68069287,18,2,6,7.7,6,4.539823785,18,6,8.5,10.6,7,4.066939882,18,1,6,6.180505415,6,3.574364567
0,13.41421356,13.41421356,17,17,17,6.585670706,3.1796085,4,5.385364532,508.1394381,504.1181413,4.652426492,4.269876792,6,4,6,3,3.353553391,3.353553391,3,0,1.584962501,0,6,3,6,5.2,6,0.979795897,6,3,4.5,4.4,3,1.2,6,3,4,4.05,3,1.116915395,6,3,5,4.6,5,1.067707825,6,1,3,3.323809524,3,1.305630576
0,65.69848481,64.28427125,243,243,274,25.68230155,12.7334921,12,24.413311,444.3287644,402.1983232,17.58969043,20.91247722,25,13,14.30738735,24.23278618,21.59841881,11.2508236,8,2,1.782575383,1.119409838,25,14,21.5,20.5,22,3.653765181,24,10,16,16.8,11,5.065570057,25,10,13,15.65,12,4.70398767,25,13,17,18.15,13,4.245880356,25,1,11,10.74115044,10,5.938608229
0,81.254834,81.254834,484,484,502,28.14264518,21.95451844,21.54065895,27.20314217,125.2702934,77.27081372,24.82434168,25.86421696,29,22,22.21320343,27.87005424,20.3137085,20.3137085,13,2,1.883828475,1.017583231,28,22,26.5,25.8,28,2.039607805,29,22,25,24.75,22,2.405722345,28,20,24,24.25,22,2.405722345,29,22,25.5,25.35,23,2.242208732,29,1,20,17.63752277,21,7.63999483
0,69.69848481,68.87005769,353,353,363,24.43812628,18.56891432,18.43908882,25.23905945,491.7169496,453.5184145,21.20031979,22.18571677,26,19,22,20,17.4246212,17.4246212,11,2,1.737181376,1.075318972,27,20,22,22.6,20,2.289104628,26,18,21,21,21,2.34520788,26,19,20.5,21.15,20,1.956399755,26,19,21,21.75,20,2.094636007,26,1,17,14.87763713,19,6.600873065
0,85.254834,84.42640687,485,485,520,29.68740765,21.5442587,20,29.4280777,368.2268195,310.1924327,24.84997342,27.13745651,30,23,29.68758202,22.99176598,21.3137085,21.3137085,13,3,1.938129791,1.064727725,30,23,26.5,26.5,23,2.655183609,30,21,24.5,24.9,22,3.096772513,30,20,23,23.9,23,3.19217794,30,22,25,25.9,23,2.736786437,30,1,19,16.91099476,22,7.90436519
0,22.72792206,22.72792206,46,46,48,7.969630061,7.425568056,7.211102486,7.80175066,320.7451744,306.4116114,7.653039857,7.234522285,9,9,8.07106781,7.363960266,5.681980515,5.681980515,5,2,1.29248125,0.660048876,9,7,8,8.2,8,0.509901951,9,7,7,7.6,7,0.734846923,9,7,8,7.9,8,0.7,9,7,8,8.15,8,0.476969601,9,1,6,5.423529412,7,2.323164528
0,60.28427125,60.28427125,255,255,269,23.12268727,14.10598003,14.42220497,22.67176819,444.3834884,408.9228827,18.01877032,19.18907952,24,15,15.05563831,23.4890213,15.07106781,15.07106781,10,2,1.777313921,1.085128868,24,15,19,19.5,15,3.170173497,24,14,17.5,17.8,14,3.18747549,23,13,16,17,14,3.391164992,24,15,17.5,18.45,15,3.007906249,24,1,13,12.26682692,14,5.764484727
