label,n_grey_bins,GlcmContrast_0,GlcmCorrelation_0,GlcmEnergy_0,GlcmHomogeneity_0,GlcmContrast_45,GlcmCorrelation_45,GlcmEnergy_45,GlcmHomogeneity_45,GlcmContrast_90,GlcmCorrelation_90,GlcmEnergy_90,GlcmHomogeneity_90,GlcmContrast_135,GlcmCorrelation_135,GlcmEnergy_135,GlcmHomogeneity_135,entropy,IQR,kurtosis,max,mean,MAD,median,min,mode,P1,P10,P25,P75,P90,P99,range,RMS,skewness,STD,stder,var,area,bb1,bb2,bb3,bb4,centroidX,centroidY,convexArea,eccentricity,equivD,eulerNumber,extent,filledArea,majorAxisLen,minorAxisLen,orientation,perimeter,perimeterOld,solidity
1,100,133.016025641026,0.929390137653776,0.0560075608152529,0.394966173433728,226.784722222222,0.88550920007763,0.0449459876543215,0.356376544230616,151.786666666667,0.931434069144392,0.0542666666666674,0.388227126988475,218.055555555555,0.898184151676261,0.0409191743827166,0.324016319625465,6.748220730273,15848,2.27243297404281,58033,34307.1452991453,9015.85966834686,33413,10926,38241,12977,19731,26459,42307,50343,56708,47107,255.998046867549,0.0962648353988093,11110.8737218509,726.340537445939,123451514.862918,234,148.5,0.5,25,13,161.884615384615,5.58547008547009,239,0.8632419542455,17.2608821752548,1,0.72,234,25.1736560554639,12.7074194234286,-5.00979992639823,59.884,63.2132034355964,0.97907949790795
2,100,346.744897959183,0.856910873225044,0.0543523531861722,0.392741311140014,833.642857142857,0.696892062855795,0.028344671201814,0.291075668309084,584.777777777778,0.821966642943666,0.0446913580246911,0.360308925969082,677.833333333334,0.774096085320766,0.0314625850340135,0.273968312063169,5.75661856827319,13004,2.05286716038742,53976,39277.2027027027,7257.98648648648,39185,21208,26270,21702,28580,32404,45408,52044,53854,32768,255.998046867549,-0.0467725823835373,8558.64344323829,994.922091126722,73250377.5884858,74,177.5,0.5,15,7,184.918918918919,3.16216216216216,80,0.898861344158665,9.70668461991024,1,0.704761904761905,74,15.2365057676665,6.67714174751335,0.265977874139646,34.23,35.8994949366117,0.925
3,100,290.009803921569,0.849882777959639,0.0280661284121493,0.365133104767253,536.882352941176,0.792966761018353,0.0220069204152249,0.210694932313609,445.022222222222,0.846846685059738,0.0306172839506173,0.226627291427548,519.211764705883,0.780656199458405,0.0222837370242215,0.232478527192199,5.55033740662413,12398.25,1.93927149547712,40980,27587.4705882353,6666.61730103806,27048,12648,22680,12648,16771,21287,33686,38673,40899,28332,255.998046867549,0.00999046078675717,7808.41810634711,846.941857324682,60971393.3235294,85,197.5,0.5,18,6,206.4,3.10588235294118,87,0.928243313928885,10.4031418957202,1,0.787037037037037,85,17.6531031971285,6.56648813501796,-0.377570744857219,37.687,39.3137084989848,0.977011494252874
4,100,748.25,0.691897687352471,0.0833333333333334,0.0849992521606927,522.1,0.28219863488883,0.1,0.0913843022589153,554.666666666667,0.400604284581568,0.0666666666666667,0.144318459318459,1113.2,0.0810619437830359,0.1,0.180727723821837,3.73452166477975,7414.75,2.95907611102214,30360,23718.3529411765,4087.6678200692,23539,11217,23539,11217,16010,20957,28371,30208,30360,19143,255.998046867549,-0.72696899647837,5347.39548683722,1296.93390671653,28594638.4926471,17,253.5,0.5,3,6,255.058823529412,3.35294117647059,17,0.862568360582935,4.65242649168128,1,0.944444444444444,17,6.68613430775261,3.38278635794394,-85.6921759079179,12.711,13.4142135623731,1
5,100,185.470899470899,0.907548515707574,0.11848772430783,0.484914550710112,427.834733893558,0.782962151171869,0.0776859763513249,0.386448704319307,295.719251336898,0.850624564839351,0.0967428293631502,0.422319338340396,307.235294117647,0.844979734776242,0.0953714819261038,0.3953920190888,6.20526924541435,16941,1.96291267040672,48893,28060.3703703704,8176.77091906721,27887,10305,14887,11153,15339,19611,36551,41189,47506,38588,255.998046867549,0.16368736801512,9570.0152531176,613.916764726253,91585191.9449036,243,211.5,0.5,22,18,223.098765432099,9.60082304526749,272,0.867555698572016,17.5896904285051,1,0.613636363636364,243,25.7082466560206,12.7857402777739,24.7855562552901,61.894,65.698484809835,0.893382352941177
6,100,116.222222222222,0.922766075392593,0.0522357491236096,0.380022206882617,220.298076923077,0.850182810568298,0.0386567225509546,0.325515324590407,102.418461538462,0.932304905658009,0.0555786982248523,0.407682030405105,161.621794871795,0.890102474823763,0.043582552596977,0.350322866683949,7.22614611452759,17041.5,2.48015113441229,65459,33593.5661157025,9868.98924253808,33224,8756,18053,11342,17724,25116,42158,50232,61360,56703,255.998046867549,0.187095741870442,12149.622298561,552.255559025499,147613321.99769,484,51.5,1.5,25,27,63.5123966942149,15.0805785123967,496,0.625109353452719,24.8243416761013,1,0.717037037037037,484,28.1663240556691,21.9848632732169,55.5925109744353,76.268,81.254833995939,0.975806451612903
7,100,199.844497607655,0.887839476726762,0.0244042032004763,0.314377294849899,163.706766917293,0.905046058814557,0.0215136839592716,0.302290483361219,172.504761904762,0.902740242137513,0.0250680272108842,0.339393533005264,351.416040100251,0.791094291379134,0.0158981413433332,0.260568632956323,6.41830786076158,12411,2.48049891484083,50039,32760.6515580737,7368.67760755643,33832,8248,34901,10837,19952,27048,39459,43493,48373,41791,255.998046867549,-0.432944797698619,8969.57669869719,477.402396929851,80453306.1538116,353,236.5,3.5,20,22,246.759206798867,14.985835694051,361,0.649392873364051,21.2003197921992,1,0.802272727272727,353,24.4653908522578,18.60478197407,-52.8042352222555,66.36,69.698484809835,0.977839335180055
8,100,177.826086956522,0.918939152131533,0.0635012328918005,0.424812640726165,315.768025078369,0.850226337020031,0.0444620237615578,0.379845544478103,221.333333333333,0.898130568592225,0.0566850321395787,0.426917482156795,295.485893416927,0.859825987613075,0.0469924627313006,0.365778976565151,6.85826217176097,15368.25,2.09505490172307,55815,37516.6474226804,7858.85393984483,38640,15799,26568,18085,24241,30008,45376,49063,53434,40016,255.998046867549,-0.296578273405593,9288.77961393969,421.781755057842,86281426.7163415,485,170.5,5.5,30,23,184.99381443299,16.6350515463918,517,0.687487636748158,24.8499734244637,1,0.702898550724638,485,29.7098553708153,21.5751805631101,4.34850539822473,80.734,85.254833995939,0.938104448742747
9,100,1067.375,0.51223406798743,0.03125,0.247106048690359,924.102040816326,0.537200873548489,0.0287380258225739,0.231244371862877,786.071428571428,0.653935433086642,0.041454081632653,0.250690103638938,1384.14285714286,0.322204201028413,0.0262390670553936,0.13884441000419,5.21921412997005,7361,2.06752953287527,25689,17633.6739130435,4100.31190926276,17051,8163,8163,8163,10715,14222,21583,24288,25689,17526,255.998046867549,-0.0720092741299094,4868.49712632986,717.82073984057,23702264.2690821,46,156.5,16.5,8,8,160.478260869565,20.9130434782609,48,0.359391183823161,7.65303985732581,1,0.71875,46,8.05284649328059,7.51481166061645,-57.495947660543,21.453,22.7279220613579,0.958333333333333
10,100,211.020467836257,0.879288327020213,0.0547860880270856,0.395998816548444,377.163580246913,0.779352131817846,0.0364273738759341,0.339724086038056,189.883040935672,0.892523237019775,0.0589070141240042,0.410387061408806,196.046296296297,0.885406262278987,0.050868770004573,0.36862730963987,6.21592011844741,13080,2.24645495943262,53165,31151.968627451,7473.12119953864,31098,13584,25237,14051,19150,24371,37451,43029,50648,39581,255.998046867549,0.15960464829154,8946.3015834832,560.239136695072,80036312.022634,255,213.5,14.5,19,19,222.937254901961,23.6313725490196,263,0.791377275985968,18.0187703217358,1,0.706371191135734,255,23.1515010335635,14.1531624043671,46.5770109963373,56.75,60.2842712474619,0.96958174904943
