,ROI_label,Grey Level Distance Zone::Small Distance Emphasis,Grey Level Distance Zone::Large Distance Emphasis,Grey Level Distance Zone::Low Grey Level Emphasis,Grey Level Distance Zone::High Grey Level Emphasis,Grey Level Distance Zone::Small Distance Low Grey Level Emphasis,Grey Level Distance Zone::Small Distance High Grey Level Emphasis,Grey Level Distance Zone::Large Distance Low Grey Level Emphasis,Grey Level Distance Zone::Large Distance High Grey Level Emphasis,Grey Level Distance Zone::Grey Level Non-Uniformity,Grey Level Distance Zone::Grey Level Non-Uniformity Normalized,Grey Level Distance Zone::Distance Size Non-Uniformity,Grey Level Distance Zone::Distance Size Non-Uniformity Normalized,Grey Level Distance Zone::Zone Percentage,Grey Level Distance Zone::Grey Level Mean,Grey Level Distance Zone::Grey Level Variance,Grey Level Distance Zone::Zone Distance Mean,Grey Level Distance Zone::Zone Distance Variance,Grey Level Distance Zone::Zone Distance Entropy,Grey Level Distance Zone::Grey Level Entropy
0,1,0.28,16.2,0,25292.2,0,4228.29,0,547280.89,2.01,0.01,32.95,0.15,0.94,151.42,2363.35,3.5,3.98,7.58,7.58
0,2,0.44,5.88,0,36660.31,0,12600.93,0,253577.48,1.24,0.02,18.13,0.27,0.91,187.18,1624.3,2.18,1.13,5.98,5.98
0,3,0.38,7.68,0,31684.39,0,9016.25,0,300294.22,1.66,0.02,17.95,0.24,0.89,171.45,2290.19,2.5,1.43,6.12,6.12
0,4,0.29,11,0,41229.67,0,13018.55,0,400435.47,1.13,0.08,3,0.2,0.88,197.93,2052.06,3,2,3.91,3.91
0,5,0.38,6.99,0,25259.89,0,7424.06,0,198260.25,3.26,0.01,54,0.25,0.9,150.99,2461.64,2.39,1.29,7.24,7.24
0,6,0.27,15.76,0,19760.66,0,3093.62,0,392855.02,3.42,0.01,69.06,0.15,0.94,132.36,2242.12,3.45,3.82,8.41,8.41
0,7,0.26,15.22,0,30244.26,0,5454.63,0,536144.1,4.02,0.01,50.28,0.16,0.91,167.68,2126.6,3.44,3.36,7.88,7.88
0,8,0.29,14.11,0,31656.32,0,6844.77,0,544312.17,3.87,0.01,72.58,0.16,0.92,172.82,1788.44,3.27,3.4,8.33,8.33
0,9,0.62,3.05,0,33812.33,0,18555.65,0,116867.26,1.14,0.03,17.79,0.41,0.93,177.3,2376.21,1.6,0.47,5.38,5.38
0,10,0.34,8.62,0,25384.61,0,6097.12,0,278833.38,3.15,0.01,48.05,0.22,0.87,153.12,1938.21,2.65,1.61,7.27,7.27
0,11,0.38,10.34,0,32363.17,0,10845.15,0,343802.77,2.29,0.02,19.47,0.2,0.95,175.34,1620.2,2.77,2.69,6.47,6.47
0,12,0.33,11.5,0,27200.19,0,7212.84,0,376794.81,5.33,0.02,50.68,0.18,0.85,160.88,1317.4,2.96,2.74,7.38,7.38
0,13,0.27,14.3,0,31964.18,0,6757.15,0,503905.51,4.89,0.01,57.83,0.16,0.89,175.09,1305.94,3.35,3.06,7.83,7.83
0,14,0.36,8.37,0,14779.27,0,4402.06,0,128722.49,2.66,0.01,51.15,0.22,0.91,113.12,1982.13,2.59,1.65,7.53,7.53
0,15,0.29,15.29,0,28273.73,0,6591.65,0,495909.56,3.56,0.02,30.56,0.16,0.92,163.35,1592.08,3.42,3.62,7.29,7.29
0,16,0.39,7.64,0,29914.2,0,8468.11,0,288544.58,2.44,0.01,41.34,0.23,0.95,167.02,2019.6,2.47,1.55,7.11,7.11
0,17,0.32,9.67,0,23861.6,0,4566.87,0,292696.05,2.93,0.01,44.37,0.2,0.92,146.8,2310.29,2.78,1.93,7.27,7.27
0,18,0.47,3.93,0,21732.5,0,7661,0,106019,1.33,0.02,20.37,0.38,1,139.35,2313.56,1.85,0.5,5.64,5.64
0,19,0.43,5.9,0.01,27695.59,0,8562.48,0.09,208375.82,1.78,0.01,46.08,0.27,0.9,158.24,2657.18,2.19,1.09,7.19,7.19
0,20,0.49,5.23,0,32942.56,0,12779.75,0,210667.95,1.62,0.04,11.36,0.29,0.91,176.05,1948.51,2.05,1.02,5.18,5.18
0,21,0.35,7.89,0,22547.22,0,5428.92,0,209958.93,2.33,0.01,57.34,0.23,0.96,143.14,2057.84,2.54,1.43,7.63,7.63
0,22,0.32,10.94,0,23032.85,0,7001.39,0,264606.83,2.49,0.01,44.66,0.19,0.85,144.03,2289.56,2.93,2.34,7.62,7.62
0,23,0.29,16.64,0,27178.24,0,5163.16,0,558592.7,2.32,0.01,31.34,0.15,0.9,158.2,2149.5,3.5,4.35,7.51,7.51
0,24,0.42,5.67,0,25267.49,0,9270.44,0,157144.58,1.74,0.01,38.07,0.28,0.88,151.83,2214.88,2.17,0.96,6.94,6.94
0,25,0.44,6.09,0,34433.91,0,12637.65,0,241788.87,1.39,0.02,17.81,0.27,0.99,182.72,1048.62,2.21,1.21,5.91,5.91
0,26,0.4,7.36,0,26363.36,0,7199.56,0,273266.53,1.53,0.01,25.97,0.24,0.74,151.63,3370.78,2.4,1.58,6.53,6.53
0,27,0.32,10.44,0,18361.1,0,3997.83,0,230720.9,2.59,0.01,47.47,0.19,0.9,127.82,2023.9,2.87,2.18,7.61,7.61
0,28,0.34,8.68,0,24110.29,0,6958.7,0,222449.91,1.64,0.01,27.27,0.22,0.91,148.27,2125.7,2.65,1.67,6.86,6.86
0,29,0.48,4.5,0,28106.72,0,10990.76,0,150269.57,1.47,0.02,22.21,0.33,0.83,162.13,1819.82,1.94,0.73,6,6
0,30,0.35,9.75,0,26844.04,0,6783.89,0,297432.63,2.83,0.01,53.97,0.2,0.94,157.34,2089.1,2.76,2.16,7.6,7.6
0,31,0.39,7.68,0,23137.15,0,6786.5,0,211634.4,2.14,0.01,49.83,0.23,0.92,144.67,2207.37,2.48,1.55,7.51,7.51
0,32,0.28,15.5,0,13944.12,0,2636.37,0,233626.65,4.4,0.01,58.99,0.15,0.88,113.18,1133.41,3.44,3.67,8.07,8.07
0,33,0.25,22.52,0,10991.13,0,2468.36,0,202447.28,6.25,0.01,78.26,0.13,0.86,98.07,1372.58,4.04,6.23,8.73,8.73
0,34,0.46,6.4,0,21614.59,0,6454.84,0,180756.96,2.36,0.02,36.51,0.26,0.88,139.31,2206.12,2.23,1.43,6.78,6.78
0,35,0.4,7.29,0,17435.75,0,6123.01,0,126150.18,2.84,0.01,58.49,0.24,0.88,126.39,1461.89,2.4,1.51,7.54,7.54
0,36,0.4,7.33,0,20024.34,0,4553.55,0,202450.08,1.96,0.01,42.16,0.24,0.89,132.08,2579.57,2.42,1.49,7.17,7.17
0,37,0.31,12.85,0,30439.45,0,8570.87,0,349115.92,1.42,0.01,19.88,0.18,0.93,168.85,1929.28,3.1,3.26,6.71,6.71
0,38,0.24,20.92,0,15779.85,0,3933.49,0,272196.76,4.92,0.01,65.08,0.13,0.83,118.36,1771.81,3.93,5.49,8.55,8.55
0,39,0.39,7.38,0,22326.1,0,6794.28,0,192950.85,2.23,0.01,51.7,0.24,0.94,141.22,2383.24,2.42,1.5,7.5,7.5
0,40,0.43,7.03,0,32250.34,0,9233.93,0,279200.17,2.33,0.01,63.36,0.25,0.9,172.1,2631.66,2.34,1.56,7.57,7.57
0,41,0.41,6.36,0,28576.36,0,7540.04,0,235311.27,2.62,0.01,69.5,0.26,0.94,162.15,2282.59,2.28,1.14,7.5,7.5
0,42,0.44,5.65,0,22749.26,0,7347.31,0,164816.94,4.28,0.02,65.11,0.28,0.88,146.33,1337.48,2.15,1.03,6.87,6.87
0,43,0.65,2.89,0,31589.41,0,16932.68,0,111318.7,1.22,0.05,11.67,0.43,0.93,172.3,1903.39,1.56,0.47,4.61,4.61
0,44,0.29,11.13,0,38882.57,0,10134.87,0,377892.76,2.17,0.03,14.31,0.2,0.89,193.54,1424.19,2.96,2.37,5.83,5.83
