,ROI_label,Neighbouring Grey Level Dependence::Low Dependence Emphasis,Neighbouring Grey Level Dependence::High Dependence Emphasis,Neighbouring Grey Level Dependence::Low Grey Level Count Emphasis,Neighbouring Grey Level Dependence::High Grey Level Count Emphasis,Neighbouring Grey Level Dependence::Low Dependence Low Grey Level Emphasis,Neighbouring Grey Level Dependence::Low Dependence High Grey Level Emphasis,Neighbouring Grey Level Dependence::High Dependence Low Grey Level Emphasis,Neighbouring Grey Level Dependence::High Dependence High Grey Level Emphasis,Neighbouring Grey Level Dependence::Grey Level Non-Uniformity,Neighbouring Grey Level Dependence::Grey Level Non-Uniformity Normalised,Neighbouring Grey Level Dependence::Dependence Count Non-Uniformity,Neighbouring Grey Level Dependence::Dependence Count Non-Uniformity Normalised,Neighbouring Grey Level Dependence::Dependence Count Percentage,Neighbouring Grey Level Dependence::Grey Level Mean,Neighbouring Grey Level Dependence::Grey Level Variance,Neighbouring Grey Level Dependence::Dependence Count Mean,Neighbouring Grey Level Dependence::Dependence Count Variance,Neighbouring Grey Level Dependence::Dependence Count Entropy,Neighbouring Grey Level Dependence::Dependence Count Energy,Neighbouring Grey Level Dependence::Expected Neighbourhood Size,Neighbouring Grey Level Dependence::Average Neighbourhood Size,Neighbouring Grey Level Dependence::Average Incomplete Neighbourhood Size,Neighbouring Grey Level Dependence::Percentage of complete Neighbourhoods,Neighbouring Grey Level Dependence::Percentage of Dependence Neighbour Voxels
0,1,0.91,1.37,0.0,25151.06,0.0,22672.85,0.02,35063.89,2.18,0.01,183.19,0.78,1.0,150.7,2440.31,1.12,0.11,7.04,0.01,26.0,7.17,7.17,0.0,0.02
0,2,0.86,1.64,0.01,35611.92,0.0,31011.57,0.05,56611.74,1.43,0.02,50.95,0.69,1.0,183.3,2014.02,1.2,0.19,5.83,0.02,26.0,6.46,6.46,0.0,0.03
0,3,0.84,1.69,0.01,31448.66,0.0,25867.63,0.05,55620.81,1.92,0.02,56.22,0.66,1.0,169.81,2612.62,1.22,0.2,5.65,0.02,26.0,6.54,6.54,0.0,0.03
0,4,0.74,2.06,0.12,34386.82,0.03,25810.18,0.47,68693.41,1.35,0.08,9.24,0.54,1.0,170.47,5326.6,1.35,0.23,3.73,0.08,26.0,5.18,5.18,0.0,0.05
0,5,0.86,1.67,0.0,23947.28,0.0,21830.75,0.02,33118.53,3.73,0.02,166.73,0.69,1.0,146.32,2537.44,1.21,0.21,6.55,0.01,26.0,7.18,7.18,0.0,0.03
0,6,0.91,1.42,0.0,19373.61,0.0,17922.82,0.02,26142.01,3.74,0.01,380.61,0.79,1.0,130.83,2257.51,1.13,0.14,7.43,0.01,26.0,7.5,7.5,0.0,0.02
0,7,0.87,1.55,0.0,30169.43,0.0,26059.71,0.01,46903.07,4.59,0.01,251.41,0.71,1.0,167.37,2155.4,1.18,0.16,6.84,0.01,26.0,7.4,7.4,0.0,0.02
0,8,0.88,1.54,0.0,31468.09,0.0,27942.07,0.01,48073.4,4.2,0.01,358.13,0.74,1.0,172.08,1857.13,1.17,0.18,7.33,0.01,26.0,7.47,7.47,0.0,0.02
0,9,0.89,1.46,0.02,31931.22,0.01,29308.13,0.09,42423.59,1.26,0.03,34.13,0.74,1.0,170.7,2794.21,1.15,0.13,5.26,0.03,26.0,6.39,6.39,0.0,0.02
0,10,0.82,1.98,0.0,24254.56,0.0,20856.34,0.02,41603.89,4.04,0.02,159.72,0.63,1.0,149.54,1893.17,1.29,0.33,6.7,0.01,26.0,7.28,7.28,0.0,0.04
0,11,0.92,1.44,0.01,31623.17,0.0,29496.03,0.04,43083.31,2.42,0.02,84.53,0.82,1.0,172.68,1804.92,1.13,0.17,5.73,0.02,26.0,6.85,6.85,0.0,0.02
0,12,0.8,2.08,0.0,26353.71,0.0,21698.05,0.01,49886.54,6.56,0.02,193.66,0.59,1.0,158.13,1348.02,1.32,0.34,6.46,0.01,26.0,7.39,7.39,0.0,0.04
0,13,0.83,1.75,0.0,31751.96,0.0,26578.67,0.01,55018.62,5.56,0.01,262.97,0.65,1.0,174.44,1322.05,1.24,0.22,6.88,0.01,26.0,7.44,7.44,0.0,0.03
0,14,0.87,1.54,0.0,14160.98,0.0,12811.93,0.02,19714.51,3.05,0.01,181.85,0.71,1.0,110.74,1897.38,1.18,0.15,6.91,0.01,26.0,7.29,7.29,0.0,0.02
0,15,0.89,1.52,0.0,27899.56,0.0,24846.89,0.02,41670.25,3.91,0.02,158.76,0.74,1.0,162.01,1652.53,1.16,0.16,6.26,0.02,26.0,7.16,7.16,0.0,0.02
0,16,0.92,1.33,0.01,29598.07,0.0,27178.0,0.02,39278.34,2.64,0.01,151.67,0.8,1.0,165.69,2145.61,1.11,0.1,6.52,0.01,26.0,7.12,7.12,0.0,0.01
0,17,0.88,1.52,0.0,23696.84,0.0,20826.29,0.02,35799.25,3.18,0.01,175.1,0.74,1.0,146.11,2348.79,1.16,0.16,6.61,0.01,26.0,7.28,7.28,0.0,0.02
0,18,0.99,1.06,0.02,20518.89,0.0,20518.88,0.07,20518.94,1.33,0.02,52.04,0.96,1.0,134.63,2393.75,1.02,0.02,5.44,0.02,26.0,6.52,6.52,0.0,0.0
0,19,0.86,2.17,0.05,26358.43,0.0,23767.9,0.83,37449.61,2.34,0.01,133.16,0.7,1.0,151.5,3405.38,1.28,0.55,6.84,0.01,26.0,7.1,7.1,0.0,0.04
0,20,0.84,1.63,0.02,31752.33,0.01,26654.92,0.09,52141.93,1.79,0.04,28.77,0.67,1.0,171.3,2407.84,1.21,0.17,4.76,0.04,26.0,6.09,6.09,0.0,0.03
0,21,0.94,1.27,0.0,22175.74,0.0,20936.12,0.02,27273.23,2.46,0.01,218.58,0.84,1.0,141.55,2139.83,1.09,0.09,7.01,0.01,26.0,7.27,7.27,0.0,0.01
0,22,0.8,2.1,0.0,21773.73,0.0,18438.65,0.01,37657.47,3.09,0.01,164.84,0.59,1.0,139.07,2432.73,1.32,0.36,7.15,0.01,26.0,7.34,7.34,0.0,0.04
0,23,0.86,1.68,0.0,25987.63,0.0,23446.46,0.02,37431.9,2.73,0.01,160.97,0.69,1.0,154.26,2192.25,1.21,0.22,6.88,0.01,26.0,7.23,7.23,0.0,0.03
0,24,0.84,1.85,0.01,24503.72,0.0,21352.4,0.03,41429.52,1.99,0.01,101.19,0.65,1.0,148.75,2375.72,1.25,0.28,6.58,0.01,26.0,7.1,7.1,0.0,0.03
0,25,0.97,1.13,0.01,33522.97,0.0,32684.17,0.06,36878.16,1.41,0.02,62.26,0.92,1.0,179.15,1429.3,1.04,0.04,5.69,0.02,26.0,6.38,6.38,0.0,0.0
0,26,0.72,11.14,0.05,31106.04,0.0,19259.89,2.01,556085.12,6.31,0.04,74.28,0.51,1.0,159.52,5658.2,2.32,5.75,6.34,0.02,26.0,7.06,7.06,0.0,0.18
0,27,0.85,1.64,0.0,17673.49,0.0,15554.15,0.01,26314.36,3.05,0.01,185.31,0.68,1.0,125.11,2020.19,1.21,0.18,6.99,0.01,26.0,7.34,7.34,0.0,0.03
0,28,0.86,1.55,0.01,23056.39,0.0,20751.92,0.03,32274.3,1.91,0.01,96.12,0.7,1.0,144.7,2118.09,1.18,0.15,6.46,0.01,26.0,7.04,7.04,0.0,0.02
0,29,0.77,2.33,0.01,27589.05,0.0,21219.54,0.05,69677.26,2.07,0.03,45.29,0.55,1.0,159.51,2144.91,1.38,0.43,5.83,0.02,26.0,6.73,6.73,0.0,0.05
0,30,0.91,1.35,0.0,26925.63,0.0,24206.88,0.01,37800.64,3.06,0.01,227.62,0.8,1.0,157.65,2073.1,1.12,0.1,6.97,0.01,26.0,7.29,7.29,0.0,0.02
0,31,0.88,1.47,0.0,22645.24,0.0,20293.34,0.02,32052.84,2.38,0.01,171.7,0.73,1.0,142.99,2198.68,1.16,0.13,6.97,0.01,26.0,7.21,7.21,0.0,0.02
0,32,0.83,1.83,0.0,13560.87,0.0,11529.05,0.01,23404.41,5.37,0.01,283.7,0.65,1.0,111.85,1050.52,1.25,0.26,7.11,0.01,26.0,7.46,7.46,0.0,0.03
0,33,0.81,1.93,0.0,10562.46,0.0,8992.21,0.01,18448.73,7.47,0.01,441.72,0.62,1.0,96.17,1314.03,1.28,0.28,7.43,0.01,26.0,7.55,7.55,0.0,0.04
0,34,0.82,1.94,0.01,21267.73,0.0,17283.9,0.03,41622.65,3.02,0.02,100.21,0.63,1.0,137.88,2256.49,1.28,0.3,6.34,0.01,26.0,7.11,7.11,0.0,0.04
0,35,0.81,1.81,0.0,16624.03,0.0,14270.97,0.01,26851.73,3.33,0.01,174.15,0.62,1.0,123.53,1363.83,1.26,0.22,6.96,0.01,26.0,7.2,7.2,0.0,0.04
0,36,0.86,1.78,0.01,19123.22,0.0,17422.75,0.02,28697.75,2.39,0.01,136.81,0.69,1.0,128.86,2517.2,1.23,0.28,6.87,0.01,26.0,7.16,7.16,0.0,0.03
0,37,0.88,1.47,0.01,29435.75,0.0,26767.24,0.03,40109.77,1.57,0.01,89.92,0.74,1.0,165.43,2067.2,1.16,0.13,6.47,0.01,26.0,6.98,6.98,0.0,0.02
0,38,0.77,2.34,0.0,14736.5,0.0,12235.09,0.01,26970.46,6.38,0.01,328.4,0.55,1.0,113.81,1783.54,1.38,0.44,7.5,0.01,26.0,7.53,7.53,0.0,0.05
0,39,0.91,1.35,0.0,22044.91,0.0,20166.42,0.02,29558.83,2.44,0.01,184.28,0.79,1.0,140.23,2379.68,1.12,0.1,6.94,0.01,26.0,7.23,7.23,0.0,0.02
0,40,0.87,3.41,0.07,29789.31,0.0,27505.22,2.23,39563.45,3.9,0.01,208.86,0.73,1.0,159.52,4342.41,1.41,1.44,7.06,0.01,26.0,7.27,7.27,0.0,0.05
0,41,0.91,1.44,0.0,28852.09,0.0,25517.28,0.01,44063.26,2.85,0.01,222.73,0.78,1.0,162.94,2303.68,1.14,0.15,6.97,0.01,26.0,7.18,7.18,0.0,0.02
0,42,0.83,1.83,0.0,22700.85,0.0,18518.94,0.02,42729.02,5.04,0.02,170.6,0.64,1.0,146.01,1381.59,1.26,0.25,6.43,0.01,26.0,7.19,7.19,0.0,0.04
0,43,0.87,1.52,0.03,28976.0,0.01,26238.47,0.14,39926.1,1.34,0.05,20.72,0.71,1.0,162.76,2485.63,1.17,0.14,4.51,0.05,26.0,5.86,5.86,0.0,0.02
0,44,0.83,1.73,0.01,37752.23,0.0,31937.29,0.05,62347.31,2.68,0.03,52.58,0.65,1.0,189.59,1806.88,1.23,0.2,5.4,0.03,26.0,6.77,6.77,0.0,0.03
