,ROI_label,Run Length::Short run emphasis Means,Run Length::Short run emphasis Std.,Run Length::Short run emphasis Comb.,Run Length::Long run emphasis Means,Run Length::Long run emphasis Std.,Run Length::Long run emphasis Comb.,Run Length::Grey level nonuniformity Means,Run Length::Grey level nonuniformity Std.,Run Length::Grey level nonuniformity Comb.,Run Length::Grey level nonuniformity normalized Means,Run Length::Grey level nonuniformity normalized Std.,Run Length::Grey level nonuniformity normalized Comb.,Run Length::Run length nonuniformity Means,Run Length::Run length nonuniformity Std.,Run Length::Run length nonuniformity Comb.,Run Length::Run length nonuniformity normalized Means,Run Length::Run length nonuniformity normalized Std.,Run Length::Run length nonuniformity normalized Comb.,Run Length::Low grey level run emphasis Means,Run Length::Low grey level run emphasis Std.,Run Length::Low grey level run emphasis Comb.,Run Length::High grey level run emphasis Means,Run Length::High grey level run emphasis Std.,Run Length::High grey level run emphasis Comb.,Run Length::Short run low grey level emphasis Means,Run Length::Short run low grey level emphasis  Std.,Run Length::Short run low grey level emphasis  Comb.,Run Length::Short run high grey level emphasis Means,Run Length::Short run high grey level emphasis Std.,Run Length::Short run high grey level emphasis Comb.,Run Length::Long run low grey level emphasis Means,Run Length::Long run low grey level emphasis Std.,Run Length::Long run low grey level emphasis Comb.,Run Length::Long run high grey level emphasis Means,Run Length::Long run high grey level emphasis Std.,Run Length::Long run high grey level emphasis Comb.,Run Length::Run percentage Means,Run Length::Run percentage Std.,Run Length::Run percentage Comb.,Run Length::Number of runs Means,Run Length::Number of runs Std.,Run Length::Number of runs Comb.,Run Length::Grey level variance Means,Run Length::Grey level variance Std.,Run Length::Grey level variance Comb.,Run Length::Run length variance Means,Run Length::Run length variance Std.,Run Length::Run length variance Comb.,Run Length::Run length entropy Means,Run Length::Run length entropy Std.,Run Length::Run length entropy Comb.
0,1,1.0,0.01,1.0,1.01,0.02,1.01,2.17,0.02,28.12,0.01,0.0,0.01,230.81,5.61,3000.13,0.99,0.02,0.99,0.0,0.0,0.0,25421.04,45.44,25421.03,0.0,0.0,0.0,25324.0,174.7,25325.27,0.0,0.0,0.0,25809.2,636.73,25804.06,1.0,0.01,1.0,232.92,1.9,3028.0,2388.7,8.95,2388.76,0.0,0.01,0.0,6.92,0.01,6.95
0,2,0.99,0.01,1.0,1.02,0.05,1.02,1.42,0.03,18.33,0.02,0.0,0.02,72.57,2.86,943.06,0.99,0.03,0.99,0.0,0.0,0.0,36510.12,163.37,36508.95,0.0,0.0,0.0,36341.42,313.22,36344.56,0.0,0.0,0.0,37393.23,1777.04,37367.85,0.99,0.01,0.99,73.46,1.08,955.0,1624.38,11.58,1624.49,0.01,0.02,0.01,5.8,0.0,5.84
0,3,0.99,0.02,0.99,1.03,0.06,1.02,1.9,0.06,24.55,0.02,0.0,0.02,83.0,4.67,1078.15,0.98,0.04,0.98,0.0,0.0,0.0,32182.21,137.16,32182.54,0.0,0.0,0.0,31946.02,576.45,31956.27,0.0,0.0,0.0,33126.95,2041.57,33087.63,0.99,0.02,0.99,84.31,1.64,1096.0,2350.88,18.57,2351.33,0.01,0.02,0.01,5.59,0.02,5.64
0,4,0.99,0.02,0.99,1.03,0.07,1.03,1.34,0.04,17.28,0.08,0.0,0.08,16.56,1.04,215.04,0.98,0.04,0.98,0.0,0.0,0.0,42034.29,264.92,42037.43,0.0,0.0,0.0,41683.8,1042.73,41704.55,0.0,0.0,0.0,43436.23,3172.02,43368.95,0.99,0.02,0.99,16.85,0.36,219.0,1918.72,31.67,1918.62,0.01,0.02,0.01,3.74,0.01,3.8
0,5,0.99,0.01,0.99,1.02,0.05,1.02,3.69,0.08,47.93,0.02,0.0,0.02,237.39,11.13,3084.4,0.98,0.03,0.98,0.0,0.0,0.0,24299.02,218.71,24295.73,0.0,0.0,0.0,24210.82,135.59,24209.92,0.0,0.0,0.0,24651.83,813.97,24638.98,0.99,0.02,0.99,241.08,3.85,3134.0,2495.54,16.37,2496.35,0.01,0.02,0.01,6.25,0.05,6.28
0,6,1.0,0.01,1.0,1.02,0.02,1.02,3.72,0.04,48.36,0.01,0.0,0.01,476.7,11.13,6196.33,0.99,0.02,0.99,0.0,0.0,0.0,19652.79,46.33,19652.74,0.0,0.0,0.0,19582.85,133.76,19583.68,0.0,0.0,0.0,19932.55,463.64,19929.01,0.99,0.01,0.99,481.54,3.75,6260.0,2251.13,7.14,2251.17,0.01,0.01,0.01,7.23,0.02,7.25
0,7,0.99,0.01,0.99,1.02,0.03,1.02,4.54,0.07,58.98,0.01,0.0,0.01,345.96,10.77,4496.42,0.99,0.02,0.99,0.0,0.0,0.0,30347.15,58.81,30347.25,0.0,0.0,0.0,30183.85,277.95,30186.54,0.0,0.0,0.0,31000.34,991.18,30990.1,0.99,0.01,0.99,350.62,3.65,4558.0,2100.69,5.55,2100.69,0.01,0.01,0.01,6.51,0.04,6.53
0,8,1.0,0.01,1.0,1.02,0.03,1.02,4.17,0.04,54.19,0.01,0.0,0.01,475.92,15.19,6185.51,0.99,0.02,0.99,0.0,0.0,0.0,31607.04,27.77,31606.86,0.0,0.0,0.0,31455.79,234.04,31458.27,0.0,0.0,0.0,32212.04,1007.92,32201.25,0.99,0.01,0.99,481.92,5.17,6265.0,1809.93,7.53,1809.99,0.01,0.01,0.01,7.05,0.03,7.08
0,9,1.0,0.01,1.0,1.02,0.04,1.02,1.25,0.02,16.22,0.03,0.0,0.03,45.33,1.68,589.03,0.99,0.02,0.99,0.0,0.0,0.0,33389.5,107.56,33388.88,0.0,0.0,0.0,33284.46,294.38,33287.48,0.0,0.0,0.0,33809.63,1222.75,33794.46,0.99,0.01,0.99,45.77,0.58,595.0,2301.71,25.08,2301.56,0.01,0.01,0.01,5.26,0.0,5.3
0,10,0.99,0.01,0.99,1.04,0.06,1.04,3.96,0.12,51.34,0.02,0.0,0.02,247.32,11.83,3213.63,0.98,0.03,0.98,0.0,0.0,0.0,24580.91,147.83,24578.75,0.0,0.0,0.0,24434.17,162.64,24435.65,0.0,0.0,0.0,25238.12,1122.09,25219.09,0.99,0.02,0.99,252.23,4.32,3279.0,1855.99,11.94,1856.06,0.01,0.02,0.01,6.27,0.06,6.31
0,11,1.0,0.01,1.0,1.01,0.03,1.01,2.4,0.03,31.19,0.02,0.0,0.02,101.64,2.74,1321.05,0.99,0.02,0.99,0.0,0.0,0.0,32274.23,66.23,32274.15,0.0,0.0,0.0,32174.39,239.6,32176.29,0.0,0.0,0.0,32673.57,890.13,32665.59,1.0,0.01,1.0,102.54,0.93,1333.0,1583.77,7.23,1583.74,0.0,0.01,0.0,5.66,0.02,5.68
0,12,0.99,0.01,0.99,1.04,0.06,1.04,6.45,0.18,83.67,0.02,0.0,0.02,314.97,16.83,4092.04,0.98,0.03,0.98,0.0,0.0,0.0,26604.52,79.01,26603.13,0.0,0.0,0.0,26399.58,241.95,26404.0,0.0,0.0,0.0,27477.83,1407.13,27451.81,0.99,0.02,0.99,322.08,5.97,4187.0,1302.58,4.76,1302.61,0.01,0.02,0.01,5.92,0.07,5.96
0,13,0.99,0.01,0.99,1.03,0.04,1.03,5.5,0.08,71.45,0.01,0.0,0.01,392.52,16.23,5100.8,0.98,0.03,0.98,0.0,0.0,0.0,31918.4,50.78,31918.42,0.0,0.0,0.0,31703.58,350.71,31708.36,0.0,0.0,0.0,32805.46,1406.27,32785.79,0.99,0.01,0.99,399.38,5.61,5192.0,1266.97,6.14,1266.92,0.01,0.01,0.01,6.42,0.05,6.46
0,14,0.99,0.01,0.99,1.02,0.03,1.02,3.02,0.05,39.25,0.01,0.0,0.01,250.01,8.35,3249.29,0.99,0.02,0.99,0.0,0.0,0.0,14443.96,46.35,14443.55,0.0,0.0,0.0,14389.81,77.94,14390.48,0.0,0.0,0.0,14660.56,426.15,14655.83,0.99,0.01,0.99,253.31,2.84,3293.0,1935.61,6.6,1935.57,0.01,0.01,0.01,6.65,0.03,6.68
