"intensity_image","mask_image","ROI_label","GABOR_0","GABOR_1","GABOR_2","GABOR_3","GABOR_4","GABOR_5","GABOR_6"
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",1,0.774691,0.407407,0.345679,0.858025,0.867284,0.858025,0.839506
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",2,1.00962,0.980769,0.951923,0.990385,0.971154,0.951923,0.951923
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",3,1.01887,1,0.820755,1.01887,1.00943,1,0.971698
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",4,1.5,1.5,1.5,1.5,1.5,1.5,1.5
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",5,0.789873,0.506329,0.321519,0.797468,0.794937,0.772152,0.764557
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",6,0.317507,0.0578635,0.00445104,0.802671,0.848665,0.84273,0.829377
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",7,0.396355,0.143508,0.0774487,0.899772,0.927107,0.917995,0.90205
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",8,0.281567,0.111756,0.0725689,0.815675,0.840348,0.830189,0.820029
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",9,1.14286,1.14286,1.03571,1.125,1.14286,1.14286,1.14286
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",10,0.716667,0.355556,0.269444,0.872222,0.894444,0.872222,0.855556
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",11,1.00775,0.891473,0.75969,1,1,0.992248,0.968992
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",12,0.336226,0.114967,0.173536,0.876356,0.902386,0.872017,0.861171
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",13,0.288425,0.11575,0.0759013,0.888046,0.907021,0.888046,0.878558
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",14,0.614776,0.216359,0.187335,0.83905,0.85752,0.841689,0.823219
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",15,0.695652,0.478261,0.331104,0.886288,0.882943,0.866221,0.852843
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",16,0.350598,0.282869,0.298805,0.976096,0.984064,0.972112,0.948207
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",17,0.461538,0.334448,0.157191,0.956522,0.9699,0.953177,0.939799
