Label,Image,Mask,diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
1,/Users/natfugl/work/axle/benchmarks/bench-pyradiomics/sampledata-tissuenet/dicom-int/p0_y1_r100_c0.dcm,/Users/natfugl/work/axle/benchmarks/bench-pyradiomics/sampledata-tissuenet/dicom-seg/p0_y1_r100_c0.dcm,v3.0.1,1.24.3,2.3.1-g42ce2,1.4.1,3.8.18,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},bc1d3ae0f0d7707650d72ebf364e35bb5d7fe702,3D,"(1.0, 1.0, 1.0)","(256, 256, 1)",8670.402924,0,65531,30d66a9e9b901f42f7cfb2a668f6b59c67668401,"(1.0, 1.0, 1.0)","(256, 256, 1)","(148, 0, 0, 25, 13, 1)",234,1,"(160.8846153846154, 4.585470085470085, 0.0)","(160.8846153846154, 4.585470085470085, 0.0)",0.503231705,0,0,25.1471594,25,13,25.3179778,25.3179778,218.9166667,12.65484789,0.354072517,496.1097825,2.266203803,234,19788,50268.3,3.04E+11,7.607502433,15791.25,2.272432974,58033,9015.859668,34307.1453,33413,10926,47107,6508.825529,36054.18371,0.096264835,3.04E+11,0.005442326,122923944.3,1102114.648,1.16E+12,20130649.01,714963.224,45034.21204,0.880476254,167.7450906,7.177341102,16109.42154,0.023799413,0.009874013,0.987873684,0.921705599,-0.851660962,0.999998745,0.003584175,966.717841,0.002425715,8.695158024,1,0.003549954,1933.435682,7.639279373,189999.359,7.619275457,211.2307692,0.902695595,0.048652202,1.273504274,196644.5517,1072396.585,1.153846154,1209691.842,0.004280465,0.004279062,0.961538462,1038072.771,0.004278711,1.259952767,0.005418694,196221.0412,1073580.647,1.019736842,1091194.184,0.004307334,0.004307154,7.612583004,229.5789474,0.987188366,0.993589744,0.006405817,0.995065789,1069177.263,0.004307109,1.219298246,0.005347799,194950.5098,1077132.833,1.078947368,1147586.978,0.004392149,0.004391429,216.3157895,0.948753463,0.980263158,1059519.297,0.004391249,7.627824718,0.974358974,0.025623269,0.00078172,0.010556029,8406180.267,704.6967023,9428.18451
2,/Users/natfugl/work/axle/benchmarks/bench-pyradiomics/sampledata-tissuenet/dicom-int/p0_y1_r100_c0.dcm,/Users/natfugl/work/axle/benchmarks/bench-pyradiomics/sampledata-tissuenet/dicom-seg/p0_y1_r100_c0.dcm,v3.0.1,1.24.3,2.3.1-g42ce2,1.4.1,3.8.18,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 2, 'additionalInfo': True}",{'Original': {}},bc1d3ae0f0d7707650d72ebf364e35bb5d7fe702,3D,"(1.0, 1.0, 1.0)","(256, 256, 1)",8670.402924,0,65531,30d66a9e9b901f42f7cfb2a668f6b59c67668401,"(1.0, 1.0, 1.0)","(256, 256, 1)","(177, 0, 0, 15, 7, 1)",74,1,"(183.9189189189189, 2.1621621621621623, 0.0)","(183.9189189189189, 2.1621621621621623, 0.0)",0.432875387,0,0,15.1926882,15,7,15.03329638,15.03329638,64.91666667,6.576540776,0.477385687,163.6259591,2.520553927,74,28749.1,51689.1,1.20E+11,6.128372285,12692.25,2.05286716,53976,7257.986486,39277.2027,39184.5,21208,32768,5481,40186.55447,-0.046772582,1.20E+11,0.014609204,72260507.62,659989.4049,3.30E+11,-24666727.32,392349.9548,50282.08308,0.773526328,164.3004338,5.787432878,22153.23886,0.032732814,0.016005037,0.973703393,0.897197652,-0.866331102,0.999986373,0.003801557,757.9263079,0.008517169,6.88453243,1,0.010528085,1515.852616,5.881307031,110658.0095,6.128372285,62.97297297,0.850986121,0.074506939,1.081081081,115616.9461,639186.527,1.243243243,704240.6351,0.013522677,0.013520275,0.939189189,622923,0.013519675,1.060810811,0.01447803,115762.6986,643113.3777,1.031690141,651588.7368,0.013663303,0.013662991,6.133715993,71.81338028,0.979765919,0.989864865,0.01011704,0.992077465,640994.5379,0.013662912,1,0.014084507,116199.956,654893.9296,1.126760563,688795.3662,0.014092389,0.014091137,65.25352113,0.919063678,0.968309859,646418.5704,0.014090824,6.14974712,0.959459459,0.040468161,0.003752866,0.00983645,2679763.878,4150.021254,4989.39834
3,/Users/natfugl/work/axle/benchmarks/bench-pyradiomics/sampledata-tissuenet/dicom-int/p0_y1_r100_c0.dcm,/Users/natfugl/work/axle/benchmarks/bench-pyradiomics/sampledata-tissuenet/dicom-seg/p0_y1_r100_c0.dcm,v3.0.1,1.24.3,2.3.1-g42ce2,1.4.1,3.8.18,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 3, 'additionalInfo': True}",{'Original': {}},bc1d3ae0f0d7707650d72ebf364e35bb5d7fe702,3D,"(1.0, 1.0, 1.0)","(256, 256, 1)",8670.402924,0,65531,30d66a9e9b901f42f7cfb2a668f6b59c67668401,"(1.0, 1.0, 1.0)","(256, 256, 1)","(197, 0, 0, 18, 6, 1)",85,1,"(205.4, 2.1058823529411765, 0.0)","(205.4, 2.1058823529411765, 0.0)",0.366963156,0,0,17.61529787,18,6,18.02775638,18.02775638,75.16666667,6.464165305,0.460143482,187.186437,2.490285193,85,16958.2,38566.2,69812422383,5.582747848,12117,1.939271495,40980,6666.617301,27587.47059,27048,12648,28332,5148.696369,28658.7267,0.009990461,69812422383,0.022560554,60254082.81,448565.6388,1.91E+11,1911824.577,305417.4078,41089.06443,0.758093731,166.5164669,5.785763582,11286.2406,0.042248208,0.030790865,0.970566133,0.87857943,-0.715869108,0.999809473,0.000441951,618.4500834,0.007635289,7.062946008,0.971763026,0.017636215,1236.900167,6.078258542,86626.61805,5.64756873,57.42352941,0.675570934,0.190449827,1.917647059,96476.25827,455249.0706,1.658823529,825812.0588,0.094129312,0.023539539,0.848366013,368904.219,0.005892123,1.849756616,0.022343487,95811.96578,452265.8488,1.083962886,499439.5398,0.030527601,0.021033732,5.608292705,78.50789687,0.947270075,0.973529412,0.026364962,0.979009279,440472.4261,0.018660264,1.657894737,0.021814404,93725.6108,442198.3421,1.381578947,655758.3816,0.052643515,0.013168943,61.5,0.809210526,0.919225146,395849.7942,0.003300331,5.632731625,0.894117647,0.130713296,0.006458785,0.007015116,1743664.969,5792.710641,3070.189647
4,/Users/natfugl/work/axle/benchmarks/bench-pyradiomics/sampledata-tissuenet/dicom-int/p0_y1_r100_c0.dcm,/Users/natfugl/work/axle/benchmarks/bench-pyradiomics/sampledata-tissuenet/dicom-seg/p0_y1_r100_c0.dcm,v3.0.1,1.24.3,2.3.1-g42ce2,1.4.1,3.8.18,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 4, 'additionalInfo': True}",{'Original': {}},bc1d3ae0f0d7707650d72ebf364e35bb5d7fe702,3D,"(1.0, 1.0, 1.0)","(256, 256, 1)",8670.402924,0,65531,30d66a9e9b901f42f7cfb2a668f6b59c67668401,"(1.0, 1.0, 1.0)","(256, 256, 1)","(253, 0, 0, 3, 6, 1)",17,1,"(254.05882352941177, 2.3529411764705883, 0.0)","(254.05882352941177, 2.3529411764705883, 0.0)",0.482807089,0,0,6.585670706,3,6,6.32455532,6.32455532,12.91666667,3.1796085,0.675107517,39.43466436,3.053006273,17,17352.6,29904.6,10021038742,3.734521665,6966,2.959076111,30360,4087.66782,23718.35294,23539,11217,19143,2762.366864,24279.06232,-0.726968996,10021038742,0.079584775,26912600.93,286175.3085,31299092154,-27332197.73,97128.9053,49972.33023,0.318710177,185.5126263,3.353945624,14416.95459,0.054221718,0.045806322,0.928421962,0.818536847,-0.787698015,0.998253473,0.000171659,523.6347403,0.048862062,4.394024989,1,0.069498557,1047.269481,3.439659909,36775.30888,3.734521665,10.88235294,0.640138408,0.179930796,1.352941176,43075.20415,294253.0588,1.705882353,546960.7059,0.0588315,0.058829306,0.823529412,231076.1471,0.058828758,1.301470588,0.078854888,43847.19094,292260.8888,1.09375,325823.6232,0.060667916,0.060667625,3.742260832,15.5625,0.94140625,0.970588235,0.029296875,0.9765625,283870.2052,0.060667552,1.133333333,0.075555556,46371.26222,285753.1333,1.4,428954.1333,0.066674042,0.066672799,11.53333333,0.768888889,0.9,249952.8833,0.066672488,3.773557262,0.882352941,0.115555556,0.035278935,0.005505118,522997.1755,63308.33174,1082.036945
5,/Users/natfugl/work/axle/benchmarks/bench-pyradiomics/sampledata-tissuenet/dicom-int/p0_y1_r100_c0.dcm,/Users/natfugl/work/axle/benchmarks/bench-pyradiomics/sampledata-tissuenet/dicom-seg/p0_y1_r100_c0.dcm,v3.0.1,1.24.3,2.3.1-g42ce2,1.4.1,3.8.18,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 5, 'additionalInfo': True}",{'Original': {}},bc1d3ae0f0d7707650d72ebf364e35bb5d7fe702,3D,"(1.0, 1.0, 1.0)","(256, 256, 1)",8670.402924,0,65531,30d66a9e9b901f42f7cfb2a668f6b59c67668401,"(1.0, 1.0, 1.0)","(256, 256, 1)","(211, 0, 0, 22, 18, 1)",243,1,"(222.09876543209876, 8.60082304526749, 0.0)","(222.09876543209876, 8.60082304526749, 0.0)",0.49580806,0,0,25.68230155,22,14,25.23885893,25.23885893,227.9166667,12.7334921,0.349680167,516.016806,2.264059112,243,15339,41189,2.13E+11,6.221730151,16941,1.96291267,48893,8176.770919,28060.37037,27887,10305,38588,6569.595667,29641.06414,0.163687368,2.13E+11,0.015360125,91208298.15,651785.8723,5.52E+11,47305671.65,526093.9536,60472.92642,0.793999892,191.935058,7.132659499,22212.36801,0.040211065,0.028842066,0.976427928,0.895948841,-0.616391174,0.999766934,0.000440252,731.6851474,0.002657226,8.616921397,0.874235508,0.00684102,1463.370295,7.546434286,146641.72,6.551824119,168.0205761,0.6914427,0.204575861,3.732510288,145960.0799,651410.8601,1.658436214,835928.0041,0.032945166,0.008241513,0.858253315,606926.7501,0.00206617,3.604156843,0.015220852,145317.0329,661055.6272,1.080384199,684484.4659,0.010646734,0.007370147,6.303455054,224.7722402,0.948674466,0.974279835,0.025662767,0.97990395,655198.4175,0.006551,3.255707763,0.014866245,143793.031,689347.274,1.356164384,792489.0913,0.018281413,0.004576566,180.5342466,0.82435729,0.926179604,665111.0332,0.001150615,6.483091672,0.901234568,0.124976543,0.007491711,0.002944774,4702472.382,3447.699943,2613.823876
6,/Users/natfugl/work/axle/benchmarks/bench-pyradiomics/sampledata-tissuenet/dicom-int/p0_y1_r100_c0.dcm,/Users/natfugl/work/axle/benchmarks/bench-pyradiomics/sampledata-tissuenet/dicom-seg/p0_y1_r100_c0.dcm,v3.0.1,1.24.3,2.3.1-g42ce2,1.4.1,3.8.18,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 6, 'additionalInfo': True}",{'Original': {}},bc1d3ae0f0d7707650d72ebf364e35bb5d7fe702,3D,"(1.0, 1.0, 1.0)","(256, 256, 1)",8670.402924,0,65531,30d66a9e9b901f42f7cfb2a668f6b59c67668401,"(1.0, 1.0, 1.0)","(256, 256, 1)","(51, 1, 0, 25, 27, 1)",484,1,"(62.51239669421488, 14.080578512396695, 0.0)","(62.51239669421488, 14.080578512396695, 0.0)",0.780115668,0,0,28.14264518,24,27,28.16025568,28.16025568,466.1666667,21.95451844,0.288990574,1006.069365,2.158175255,484,17747,50200.4,6.18E+11,8.133056833,16985.25,2.480151134,65459,9868.989243,33593.56612,33223.5,8756,56703,7076.949088,35718.84685,0.187095742,6.18E+11,0.004140769,147308335.8,1252219.307,1.65E+12,100578957.4,804707.6466,81846.35981,0.814704175,218.4316733,7.965873007,32844.06419,0.024548386,0.012662405,0.985009372,0.916798004,-0.792756541,0.999998672,0.001184825,1035.111838,0.001156435,9.775956048,0.997022181,0.002205382,2070.223676,8.608894725,221638.5016,8.196546618,410.2975207,0.84772215,0.087511099,2.004132231,235693.3765,1224160.705,1.268595041,1465587.052,0.002074832,0.002071329,0.937442608,1165160.996,0.002070628,1.975449829,0.00412629,235464.2356,1227516.018,1.03292708,1257758.114,0.002094332,0.002093929,8.149169389,468.3744711,0.978309002,0.989152893,0.010845499,0.99176823,1219955.494,0.002093828,1.894168467,0.004091077,234705.0765,1238046.957,1.144708423,1365511.821,0.002166717,0.002164722,426.412527,0.92097738,0.96862251,1207599.162,0.002164405,8.181863538,0.95661157,0.05193848,0.000816395,0.005290753,22832357.5,488.7411559,6159.40599
7,/Users/natfugl/work/axle/benchmarks/bench-pyradiomics/sampledata-tissuenet/dicom-int/p0_y1_r100_c0.dcm,/Users/natfugl/work/axle/benchmarks/bench-pyradiomics/sampledata-tissuenet/dicom-seg/p0_y1_r100_c0.dcm,v3.0.1,1.24.3,2.3.1-g42ce2,1.4.1,3.8.18,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 7, 'additionalInfo': True}",{'Original': {}},bc1d3ae0f0d7707650d72ebf364e35bb5d7fe702,3D,"(1.0, 1.0, 1.0)","(256, 256, 1)",8670.402924,0,65531,30d66a9e9b901f42f7cfb2a668f6b59c67668401,"(1.0, 1.0, 1.0)","(256, 256, 1)","(236, 3, 0, 20, 22, 1)",353,1,"(245.75920679886684, 13.98583569405099, 0.0)","(245.75920679886684, 13.98583569405099, 0.0)",0.759833798,0,0,24.43812628,20,22,26.07680962,26.07680962,336.9166667,18.56891432,0.317420407,737.6736603,2.189484027,353,20038,43493,4.07E+11,6.481196617,12411,2.480498915,50039,7368.677608,32760.65156,33832,8248,41791,5447.969412,33963.00463,-0.432944798,4.07E+11,0.012992641,80225393.11,1108636.09,4.73E+11,-119717461.9,430872.1698,41198.78126,0.824621033,157.194327,7.401997162,15635.44332,0.036942675,0.02419831,0.986031915,0.918264914,-0.574591438,0.999692516,0.000481024,1005.583628,0.001814134,9.173648111,0.917195291,0.004198028,2011.167256,8.058388638,118017.7378,6.835804422,252.7393768,0.715975572,0.156120344,4.586402266,128389.7857,1092630.331,1.538243626,1697007.618,0.00283679,0.002835884,0.871734341,943244.6155,0.002835687,4.443784863,0.012871112,128783.5266,1091542.383,1.06738612,1168434.348,0.002899657,0.002899548,6.561165084,330.1082003,0.956114866,0.978045326,0.021942567,0.98315347,1072319.391,0.00289952,4.01863354,0.012480228,130098.9297,1087956.267,1.301242236,1420923.394,0.003109274,0.003108748,268.8881988,0.835056518,0.931590752,1006587.584,0.003108649,6.760015464,0.912181303,0.099427105,0.003670366,0.003173928,4651964.068,1704.169397,2570.591366
8,/Users/natfugl/work/axle/benchmarks/bench-pyradiomics/sampledata-tissuenet/dicom-int/p0_y1_r100_c0.dcm,/Users/natfugl/work/axle/benchmarks/bench-pyradiomics/sampledata-tissuenet/dicom-seg/p0_y1_r100_c0.dcm,v3.0.1,1.24.3,2.3.1-g42ce2,1.4.1,3.8.18,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 8, 'additionalInfo': True}",{'Original': {}},bc1d3ae0f0d7707650d72ebf364e35bb5d7fe702,3D,"(1.0, 1.0, 1.0)","(256, 256, 1)",8670.402924,0,65531,30d66a9e9b901f42f7cfb2a668f6b59c67668401,"(1.0, 1.0, 1.0)","(256, 256, 1)","(170, 5, 0, 30, 23, 1)",485,1,"(183.9938144329897, 15.635051546391752, 0.0)","(183.9938144329897, 15.635051546391752, 0.0)",0.725703603,0,0,29.68740765,30,23,30.41381265,30.41381265,466.1666667,21.5442587,0.287943957,1009.726219,2.166019776,485,24253.8,49056.6,7.24E+11,8.328929301,15343,2.095054902,55815,7858.85394,37516.64742,38640,15799,40016,6028.288631,38647.15204,-0.296578273,7.24E+11,0.00350728,86103526.87,917294.0878,5.09E+11,-114127200.3,490049.1271,33580.85995,0.871823779,141.5045653,7.670333674,13199.52123,0.031771636,0.014364525,0.987494481,0.92265662,-0.822738613,0.999999421,0.00313893,896.1982718,0.001150934,9.780715134,0.991192149,0.002207844,1792.396544,8.625763562,130907.4968,8.383834848,408.2742268,0.841802529,0.079098735,1.701030928,137772.1546,895016.6062,1.259793814,1075020.033,0.016501957,0.00412973,0.935051546,850015.7495,0.001036674,1.673912526,0.003489022,137262.4154,897242.5229,1.033461226,920513.1259,0.005244262,0.003641558,8.342781697,469.5691298,0.978373765,0.989175258,0.010813118,0.991634693,891424.8722,0.003240881,1.590517241,0.003427839,135682.7413,904165.4677,1.135775862,998240.5345,0.008627362,0.002161274,423.9008621,0.913579444,0.966056034,880646.701,0.000544752,8.386142734,0.956701031,0.043210278,0.000580134,0.008724151,12280325.98,152.5347284,5984.02207
9,/Users/natfugl/work/axle/benchmarks/bench-pyradiomics/sampledata-tissuenet/dicom-int/p0_y1_r100_c0.dcm,/Users/natfugl/work/axle/benchmarks/bench-pyradiomics/sampledata-tissuenet/dicom-seg/p0_y1_r100_c0.dcm,v3.0.1,1.24.3,2.3.1-g42ce2,1.4.1,3.8.18,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 9, 'additionalInfo': True}",{'Original': {}},bc1d3ae0f0d7707650d72ebf364e35bb5d7fe702,3D,"(1.0, 1.0, 1.0)","(256, 256, 1)",8670.402924,0,65531,30d66a9e9b901f42f7cfb2a668f6b59c67668401,"(1.0, 1.0, 1.0)","(256, 256, 1)","(156, 16, 0, 8, 8, 1)",46,1,"(159.47826086956522, 19.91304347826087, 0.0)","(159.47826086956522, 19.91304347826087, 0.0)",0.931733092,0,0,7.969630061,8,8,8.544003745,8.544003745,40.41666667,7.425568056,0.555851646,102.4626437,2.535158195,46,11400,24186,15370138853,5.480083695,7269.25,2.067529533,25689,4100.311909,17633.67391,17051,8163,17526,3051.199074,18279.31764,-0.072009274,15370138853,0.02268431,23186997.65,174939.0536,29280069844,-10023676.9,114946.4443,32458.22729,0.553176225,142.6738617,4.972913847,10272.76337,0.027026544,0.012061405,0.944086843,0.844137793,-0.85225364,0.999949027,0.008736906,392.8196376,0.013719049,6.191821317,1,0.01709482,785.6392753,5.184480047,36851.16789,5.480083695,42.17391304,0.916824197,0.041587902,1.043478261,37108.7656,181409.6522,1.130434783,184960.7391,0.021803908,0.021799117,0.967391304,180521.8804,0.02179792,1.032608696,0.022568788,37052.73148,182266.2336,1.016666667,182719.9836,0.021920632,0.021920019,5.483026045,45.26111111,0.989135802,0.994565217,0.005432099,0.995833333,182152.7961,0.021919866,1,0.022222222,36884.62914,184835.9778,1.066666667,186650.9778,0.022285175,0.022282726,43.04444444,0.95654321,0.983333333,184382.2278,0.022282114,5.491853096,0.97826087,0.021728395,0.00984854,0.010657082,950937.1382,3394.509724,1599.100226
10,/Users/natfugl/work/axle/benchmarks/bench-pyradiomics/sampledata-tissuenet/dicom-int/p0_y1_r100_c0.dcm,/Users/natfugl/work/axle/benchmarks/bench-pyradiomics/sampledata-tissuenet/dicom-seg/p0_y1_r100_c0.dcm,v3.0.1,1.24.3,2.3.1-g42ce2,1.4.1,3.8.18,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 10, 'additionalInfo': True}",{'Original': {}},bc1d3ae0f0d7707650d72ebf364e35bb5d7fe702,3D,"(1.0, 1.0, 1.0)","(256, 256, 1)",8670.402924,0,65531,30d66a9e9b901f42f7cfb2a668f6b59c67668401,"(1.0, 1.0, 1.0)","(256, 256, 1)","(213, 14, 0, 19, 19, 1)",255,1,"(221.93725490196078, 22.63137254901961, 0.0)","(221.93725490196078, 22.63137254901961, 0.0)",0.610049337,0,0,23.12268727,17,18,23.43074903,23.43074903,241.1666667,14.10598003,0.348508878,537.627901,2.229279479,255,19334,43029,2.68E+11,6.234958365,13080,2.246454959,53165,7473.1212,31151.96863,31098,13584,39581,5634.005334,32406.28941,0.159604648,2.68E+11,0.015824683,79722444.13,644871.4347,4.71E+11,25855008.93,456209.7254,37223.91101,0.848754405,152.3036956,7.047690845,13369.18512,0.051843158,0.039144176,0.98580123,0.91629289,-0.613188595,0.999756373,0.000510833,734.8980162,0.002721492,8.633301612,0.903815008,0.010753991,1469.796032,7.579553634,123358.4091,6.695878854,160.8980392,0.630972703,0.328119954,4.035294118,127593.6257,622602.4392,1.97254902,962046.5176,0.007873729,0.007865583,0.822494553,552540.9938,0.007864337,3.796188837,0.015430539,128937.8219,631963.7379,1.118183459,673952.0355,0.008154567,0.008153667,6.36449208,230.0379094,0.935015198,0.964705882,0.04343536,0.974474229,622252.7302,0.008153463,3.153846154,0.014270797,133767.0045,659392.0045,1.615384615,884711.7466,0.009079214,0.009074558,177.280543,0.802174403,0.914546254,623770.7552,0.009074004,6.604186525,0.866666667,0.284023669,0.005107931,0.003868868,3625355.19,1974.407595,3495.404626
