intensity_filename,mask_filename,label,EdgeFeatures()[0],EdgeFeatures()[1],EdgeFeatures()[2],EdgeFeatures()[3],EdgeFeatures()[4],EdgeFeatures()[5],EdgeFeatures()[6],EdgeFeatures()[7],EdgeFeatures()[8],EdgeFeatures()[9],EdgeFeatures()[10],EdgeFeatures()[11],EdgeFeatures()[12],EdgeFeatures()[13],EdgeFeatures()[14],EdgeFeatures()[15],EdgeFeatures()[16],EdgeFeatures()[17],EdgeFeatures()[18],EdgeFeatures()[19],EdgeFeatures()[20],EdgeFeatures()[21],EdgeFeatures()[22],EdgeFeatures()[23],EdgeFeatures()[24],EdgeFeatures()[25],EdgeFeatures()[26],EdgeFeatures()[27]
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,1,84,0.18367347,0.018181818,0.39726027,0.19298246,20,28,22,23,29,27,51,34,0.20512821,0.34252513,0.64987866,3.2176763,64,85,33,18,16,11,2,5,46090.057,34484.213,1.1067199e+09
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,2,34,0,0.16129032,0.75,1,5,13,2,0,5,18,14,17,0.24324324,0.81170749,1.4320015,3.0522931,20,7,6,10,7,10,7,7,70587.301,68204.846,2.2217803e+09
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,3,39,0.2,0.34782609,0.91304348,0.66666667,4,15,1,1,6,31,22,5,0.22352941,0.80395255,1.5017427,2.2786532,8,21,16,7,15,7,5,6,54006.382,45528.64,9.112134e+08
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,4,11,0.27272727,0,1,0.33333333,7,1,0,1,4,1,1,2,0.47058824,-0.83886427,-0.87289467,3.941097,1,1,1,1,1,3,2,7,66001.916,70977.526,4.459897e+08
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,5,104,0.24444444,0.10144928,0.17948718,0.1372549,28,38,32,22,17,31,46,29,0.27160494,0.058154282,0.11517809,3.4872973,43,58,53,36,36,6,8,3,44747.498,40086.013,7.1855287e+08
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,6,194,0.13207547,0.21008403,0.24137931,0.092436975,90,72,54,54,69,47,33,65,0.33471074,-0.3080612,-0.44602372,3.6750427,74,132,103,63,44,37,22,9,43388.2,37048.983,7.4285794e+08
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,7,130,0.047619048,0.25714286,0.38613861,0.0084033613,33,44,70,59,30,26,31,60,0.21813031,-0.028813319,-0.27415918,3.2995144,104,112,59,23,22,16,12,5,37307.112,27666.264,8.7989864e+08
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,8,151,0.20754717,0.098039216,0.053435115,0.02739726,64,56,62,75,42,46,69,71,0.24742268,0.026347622,-0.13079473,3.4993126,159,175,57,20,26,20,16,12,36351.702,26462.988,1.0044301e+09
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,9,22,0,0.14285714,0.33333333,0.33333333,3,4,12,10,3,3,6,5,0.15217391,0.071630266,-0.29583366,2.6003966,7,7,9,3,7,2,5,6,37624.497,32190.809,4.1159526e+08
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,10,98,0.23076923,0.01754386,0.069767442,0.012987013,30,29,23,39,48,28,20,38,0.23137255,0.023367606,0.12417645,3.1044562,39,81,55,38,12,19,8,3,38635.408,31919.485,5.8443771e+08
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,11,43,0.21428571,0.39130435,0,0.0625,11,16,10,17,17,7,10,15,0.26213592,-0.012238004,-0.2789211,3.3335386,18,26,16,8,13,7,6,9,49949.625,39572.075,1.1045853e+09
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,12,104,0.02173913,0.22916667,0.40298507,0.070422535,47,59,47,38,45,37,20,33,0.32515337,-0.3788404,-0.63036751,2.9210638,84,140,40,26,17,8,7,4,30418.83,23527.992,5.2871381e+08
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,13,120,0.30508475,0.10948905,0.35294118,0.15,41,76,22,46,77,61,46,34,0.29032258,-0.062907821,0.12346411,2.9512014,143,138,37,18,23,15,19,10,36647.496,24806.681,1.0777641e+09
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,14,97,0.48,0.25714286,0.18518519,0.033707865,13,13,48,46,37,22,33,43,0.10196078,0.32401133,0.12475646,2.6634948,66,80,50,28,10,13,3,5,37848.678,30237.344,7.8613818e+08
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,15,64,0.14893617,0.26153846,0.30434783,0.25,20,41,16,21,27,24,30,35,0.28504673,0.13470403,0.17406605,3.445671,58,82,18,13,18,14,5,6,40232.816,29432.754,1.0818873e+09
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,16,67,0.098591549,0.33333333,0.18181818,0.28888889,39,34,9,16,32,17,13,29,0.38624339,-0.28761769,-0.10178765,3.808465,40,54,37,15,20,11,8,4,49581.765,39947.9,1.1660735e+09
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,17,107,0.010526316,0.22727273,0.15384615,0.52173913,47,17,30,11,48,27,22,35,0.27004219,-0.0057295934,0.16245971,3.7291148,26,44,43,28,22,37,28,9,30525.805,27296.464,3.1296662e+08
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,18,21,0.28571429,0.75,0.33333333,0.16666667,18,7,2,5,10,1,4,7,0.46296296,-0.69578469,-0.89176678,3.9784181,1,7,10,15,2,5,7,7,49850.06,44757.356,3.7563733e+08
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,19,83,0.36,0.010989011,0.27659574,0.076923077,8,46,17,14,17,45,30,12,0.28571429,0.080171596,0.64441784,2.6085067,34,51,23,22,28,22,5,4,72878.234,62661.906,1.9598268e+09
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,20,23,0.53846154,0.81818182,0,0.2,10,10,2,6,3,1,2,9,0.46511628,-0.49421892,-0.93078099,4.528792,3,7,5,5,7,6,2,8,41104.537,41605.811,4.051101e+08
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,21,92,0.32173913,0.25581395,0.14285714,0.39130435,76,54,20,7,39,32,15,16,0.5019305,-0.80807324,-1.6174152,3.3749204,48,76,58,19,16,15,18,9,37287.828,30572.389,6.6500745e+08
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,22,87,0.725,0.079365079,0.30909091,0.55,69,34,19,18,11,29,36,62,0.3705036,-0.018147865,-0.013433804,5.1157037,106,90,35,13,10,6,5,13,31149.323,21676.338,8.3990545e+08
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,23,85,0.50769231,0.26315789,0.21875,0.19148936,49,36,25,19,16,21,39,28,0.36480687,-0.24944466,-0.21579659,4.1030588,59,74,34,24,23,8,2,9,44275.202,34097.957,1.0828125e+09
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,24,51,0.55555556,0.52380952,0.45833333,0.058823529,4,5,13,36,14,16,35,32,0.058064516,0.83840619,1.1562968,2.4158033,29,65,24,12,11,7,2,5,46448.265,35638.24,1.0693143e+09
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,25,32,0.15789474,0.4,0.6,0.37931034,11,7,2,9,8,3,8,20,0.26470588,0.46955957,0.25558485,4.5214783,15,10,7,5,9,8,9,5,46513.531,45152.701,9.2661368e+08
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,26,63,0.36,0.11111111,0.29411765,0.48571429,17,8,22,18,8,10,12,52,0.17006803,0.59973184,0.78717095,4.3053563,23,24,43,25,12,9,6,5,68381.721,62335.961,1.9177792e+09
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,27,102,0.44,0.64179104,0.27272727,0.13043478,14,12,56,39,36,55,32,30,0.094890511,0.31545687,0.32321005,2.347589,56,91,49,32,16,19,7,4,32935.065,26471.572,5.0969691e+08
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,28,46,0.055555556,0.081081081,0.67741935,0.21212121,17,20,5,20,19,17,26,13,0.27007299,0.090145117,0.31213344,3.2337237,32,46,25,9,8,8,4,5,51270.381,39620.803,1.5064039e+09
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,29,37,0.38461538,0.3,0.58333333,0.5,18,13,19,9,8,7,5,3,0.37804878,-0.75538064,-1.1288373,2.524818,14,19,13,12,11,8,2,3,34840.807,28318.453,4.6395653e+08
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,30,118,0.11111111,0,0.28735632,0.043478261,24,38,56,33,30,38,31,36,0.21678322,0.023264861,-0.31397702,3.0277185,57,73,48,36,34,25,9,4,37710.349,31028.4,5.8933105e+08
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,31,101,0.063829787,0.24,0.06122449,0.26829268,44,19,26,26,50,31,23,15,0.26923077,-0.24919923,0.053230685,2.9232409,52,68,35,36,24,15,1,3,36194.381,29259.793,5.3365644e+08
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,32,157,0.057692308,0.17117117,0.063492063,0.020408163,55,46,67,50,49,65,59,48,0.23006834,0.0064604864,0.023819675,3.1879467,130,149,62,43,32,14,3,6,33936.479,27187.481,6.2762702e+08
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,33,228,0.082872928,0.12149533,0.38064516,0.02994012,83,94,48,81,98,120,107,86,0.24686192,0.1826632,0.39123025,3.2272238,273,249,78,62,28,15,8,4,28703.874,20919.946,5.5428376e+08
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,34,69,0.10526316,0.36363636,0.11627907,0.25714286,17,30,24,22,21,14,19,13,0.29375,-0.29102787,-0.51438237,2.8907926,16,30,32,26,19,15,10,12,36362.515,32417.648,4.2199913e+08
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,35,113,0.12121212,0.36585366,0.14814815,0.33333333,37,26,23,26,29,56,31,52,0.225,0.29096597,0.74201638,3.5436519,119,53,45,24,21,10,6,2,32568.185,22839.584,7.1644584e+08
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,36,100,0.058823529,0.4,0.18181818,0.22222222,27,35,26,21,24,15,18,33,0.31155779,-0.15351669,-0.48218831,3.6120142,23,25,43,49,33,11,11,4,44114.263,44138.754,4.9329577e+08
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,37,50,0.10204082,0.25714286,0.73913043,0.066666667,22,13,20,8,27,22,3,7,0.28688525,-0.45423485,-0.34017168,2.7264176,14,37,21,15,10,10,6,9,37381.569,30922.311,5.369234e+08
