intensity_filename,mask_filename,label,FractalFeatures()[0],FractalFeatures()[1],FractalFeatures()[2],FractalFeatures()[3],FractalFeatures()[4],FractalFeatures()[5],FractalFeatures()[6],FractalFeatures()[7],FractalFeatures()[8],FractalFeatures()[9],FractalFeatures()[10],FractalFeatures()[11],FractalFeatures()[12],FractalFeatures()[13],FractalFeatures()[14],FractalFeatures()[15],FractalFeatures()[16],FractalFeatures()[17],FractalFeatures()[18],FractalFeatures()[19]
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,1,1529.4031,2689.0092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,5,1726.2816,2982.501,3732.8177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,6,2563.657,4387.8626,5433.4808,5848.7555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,7,2008.7131,3421.734,4307.1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,8,1561.8755,2593.0732,3276.6005,3756.5667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,9,896.84848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,10,1509.0563,2657.2039,3412.1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,11,1809.0714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
