,cp,imea,matlab,mitk,nist,pyr,radj,wc,altname
0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,!image=banner_texture.png
1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,!text=$\blacktriangledown$GLCM
2,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ASM 0
3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ASM 45
4,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ASM 90
5,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ASM 135
6,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,E|ASM
7,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,E|AC
8,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,E|CP
9,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,E|CS
10,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,E|CT
11,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,CON 0
12,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,CON 0/matl
13,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,CON 45
14,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,CON 45/matl
15,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,CON 90
16,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,CON 90/matl
17,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,CON 135
18,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,CON 135/matl
19,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,E|CON
20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,COR 0
21,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,COR 0/matl
22,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,COR 45
23,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,COR 45/matl
24,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,COR 90
25,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,COR 90/matl
26,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,COR 135
27,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,COR 135/matl
28,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,E|COR
29,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,E|DA
30,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,DE 0
31,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,DE 45
32,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,DE 90
33,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,DE 135
34,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,E|DE
35,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,DV 0
36,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,DV 45
37,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,DV 90
38,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,DV 135
39,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,E|DV
40,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,E|DIS
41,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,E 0/matl
42,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,E 45/matl
43,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,E 90/matl
44,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,E 135/matl
45,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,E|E
46,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ENT 0
47,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ENT 45
48,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ENT 90
49,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,ENT 135
50,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,E|ENT
51,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,H1 0/matl
52,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,H1 45/matl
53,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,H1 90/matl
54,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,H1 135/matl
55,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,E|H1
56,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,E|ID
57,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,E|IDN
58,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,IDM 0
59,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,IDM 45
60,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,IDM 90
61,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,IDM 135
62,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,E|IDM
63,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,IDMN
64,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,IM1 0
65,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,IM1 45
66,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,IM1 90
67,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,IM1 135
68,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,E|IM1
69,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,IM2 0
70,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,IM2 45
71,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,IM2 90
72,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,IM2 135
73,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,E|IM2
74,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,E|IV
75,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,E|JA
76,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,E|JE
77,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,E|JM
78,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,E|JV
79,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SUMA 0
80,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SUMA 45
81,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SUMA 90
82,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SUMA 135
83,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,E|SUMA
84,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SUME 0
85,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SUME 45
86,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SUME 90
87,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SUME 135
88,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,E|SUME 
89,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SUMV 0
90,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SUMV 45
91,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SUMV 90
92,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SUMV 135
93,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,E|SUMV
94,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,VAR 0
95,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,VAR 45
96,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,VAR 90
