FeatureName,Cellprofiler,Imea,MATLAB,MITK,NIST,Nyxus,PyRadiomics,RadiomicsJ,WC,pfx,Remark,fcode,Remark2
*,0,0,0,0,0,0,0,0,0,*,*,*,
1,0,0,0,1,0,1,0,1,0,[fo] ,CVAR,327,[fo] CVAR (327)
2,0,0,0,1,0,1,0,0,0,[fo] ,CIIR,328,[fo] CIIR (328)
3,0,0,0,1,0,1,1,1,1,[fo] ,Energy,329,[fo] Energy (329)
4,0,0,1,1,0,1,1,0,1,[fo] ,Entropy,330,[fo] Entropy (330)
5,0,0,0,1,0,1,0,0,0,[fo] ,Exc kurtosis,331,[fo] Exc kurtosis (331)
6,0,0,0,0,0,1,0,0,0,[fo] ,Hyperflatness,332,[fo] Hyperflatness (332)
7,0,0,0,0,0,1,0,0,0,[fo] ,Hyperskewness,333,[fo] Hyperskewness (333)
8,1,0,0,0,0,1,0,0,1,[fo] ,II,334,[fo] II (334)
9,1,0,0,0,0,1,0,0,1,[fo] ,IIE,335,[fo] IIE (335)
10,0,0,1,1,0,1,1,1,1,[fo] ,IQR,336,[fo] IQR (336)
11,0,0,1,1,0,1,1,1,1,[fo] ,Kurtosis,337,[fo] Kurtosis (337)
12,0,0,1,1,0,1,1,1,1,[fo] ,MAD,338,[fo] MAD (338)
13,1,0,1,1,0,1,1,1,1,[fo] ,Max,339,[fo] Max (339)
14,1,0,0,0,0,1,0,0,1,[fo] ,Max IE,340,[fo] Max IE (340)
15,1,0,0,0,0,1,0,0,1,[fo] ,MD,341,[fo] MD (341)
16,1,0,1,1,0,1,1,1,1,[fo] ,Mean,342,[fo] Mean (342)
17,1,0,0,0,0,1,0,0,0,[fo] ,Mean IE,343,[fo] Mean IE (343)
18,0,0,1,1,0,1,1,1,1,[fo] ,Median,344,[fo] Median (344)
19,0,0,0,1,0,1,0,1,0,[fo] ,Median AD,345,[fo] Median AD (345)
20,1,0,1,1,0,1,1,1,1,[fo] ,Min,346,[fo] Min (346)
21,1,0,0,0,0,1,0,0,1,[fo] ,Min IE,347,[fo] Min IE (347)
22,0,0,1,1,0,1,0,0,1,[fo] ,Mode,348,[fo] Mode (348)
23,0,0,0,1,0,1,0,0,0,[fo] ,Mode probab,349,[fo] Mode probab (349)
24,0,0,1,1,0,1,1,1,1,[fo] ,Percentiles,350,[fo] Percentiles (350)
25,0,0,0,1,0,1,0,1,0,[fo] ,QCoD,351,[fo] QCoD (351)
26,0,0,1,1,0,1,1,1,1,[fo] ,Range,352,[fo] Range (352)
27,0,0,0,1,0,1,1,0,1,[fo] ,RMAD,353,[fo] RMAD (353)
28,0,0,0,1,0,1,0,0,0,[fo] ,Rmean,354,[fo] Rmean (354)
29,0,0,1,1,0,1,1,1,1,[fo] ,RMS,355,[fo] RMS (355)
30,0,0,1,0,0,1,0,1,1,[fo] ,SE,356,[fo] SE (356)
31,0,0,1,1,0,1,1,1,1,[fo] ,Skewness,357,[fo] Skewness (357)
32,1,0,1,1,0,1,1,1,1,[fo] ,std,358,[fo] std (358)
33,1,0,0,0,0,1,0,0,0,[fo] ,std IE,359,[fo] std IE (359)
34,0,0,0,1,0,1,0,0,0,[fo] ,std biased,360,[fo] std biased (360)
35,0,0,0,1,0,1,1,0,0,[fo] ,Uniformity,361,[fo] Uniformity (361)
36,0,0,0,0,0,1,0,0,0,[fo] ,Uniformity PIU,362,[fo] Uniformity PIU (362)
37,0,0,1,1,0,1,1,1,1,[fo] ,Var,363,[fo] Var (363)
38,0,0,0,1,0,1,0,0,0,[fo] ,Var (biased),364,[fo] Var (biased) (364)
39,0,0,1,0,0,1,0,0,1,[fo] ,WCX,365,[fo] WCX (365)
40,0,0,1,0,0,1,0,0,1,[fo] ,WCY,366,[fo] WCY (366)
41,1,1,0,1,0,1,1,1,0,[m] ,volume,367,[m] volume (367)
42,1,0,0,0,0,1,0,0,0,[m] ,volume_bb,368,[m] volume_bb (368)
43,0,1,0,0,0,1,0,0,0,[m] ,vol_conv_hull,369,[m] vol_conv_hull (369)
44,1,0,0,0,0,1,0,0,0,[m] ,convex area,370,[m] convex area (370)
45,1,1,0,0,0,1,0,0,0,[m] ,surface_area,371,[m] surface_area (371)
46,0,1,0,0,0,1,0,0,0,[m] ,D_vol_equiv,372,[m] D_vol_equiv (372)
47,0,1,0,0,0,1,0,0,0,[m] ,D_surf_area_equiv,373,[m] D_surf_area_equiv (373)
48,1,0,0,0,0,0,0,0,0,[m] ,extent,374,[m] extent (374)
49,1,1,0,0,0,1,0,0,0,[m] ,centroid,375,[m] centroid (375)
50,1,1,0,0,0,1,0,0,0,[m] ,width_3d_bb,376,[m] width_3d_bb (376)
51,1,1,0,0,0,1,0,0,0,[m] ,length_3d_bb,377,[m] length_3d_bb (377)
52,1,1,0,0,0,1,0,0,0,[m] ,height_3d_bb,378,[m] height_3d_bb (378)
53,0,1,0,0,0,1,0,0,0,[m] ,feret_3d_max,379,[m] feret_3d_max (379)
54,0,1,0,0,0,1,0,0,0,[m] ,feret_3d_min,380,[m] feret_3d_min (380)
55,0,1,0,0,0,1,0,0,0,[m] ,x_max_3d,381,[m] x_max_3d (381)
56,0,1,0,0,0,1,0,0,0,[m] ,y_max_3d,382,[m] y_max_3d (382)
57,0,1,0,0,0,1,0,0,0,[m] ,z_max_3d,383,[m] z_max_3d (383)
58,0,0,0,1,0,1,1,1,0,[m] ,max 3D diam,384,[m] max 3D diam (384)
59,1,0,0,1,0,0.5,1,1,0,[t] ,GLCM,385,[t] GLCM (385)
60,0,0,0,1,0,0.5,1,1,0,[t] ,GLDM,386,[t] GLDM (386)
61,0,0,0,1,0,0.5,1,1,0,[t] ,GLRLM,387,[t] GLRLM (387)
62,0,0,0,1,0,0.5,1,1,0,[t] ,GLSZM,388,[t] GLSZM (388)
63,0,0,0,1,0,0.5,1,1,0,[t] ,NGTDM,389,[t] NGTDM (389)
64,0,0,0,1,0,0,0,0,0,[t] ,NGLDM,390,[t] NGLDM (390)
65,0,0,0,1,0,0,0,0,0,[t] ,GLDZM,391,[t] GLDZM (391)
66,0,0,0,0,0,1,0,0,0,[gm] ,Raw moms,392,[gm] Raw moms (392)
67,0,0,0,0,0,0,0,0,0,[gm] ,Wtd raw moms,393,[gm] Wtd raw moms (393)
68,0,0,0,0,0,1,0,0,0,[gm] ,Central moms,394,[gm] Central moms (394)
69,0,0,0,0,0,0,0,0,0,[gm] ,Wtd ctr moms,395,[gm] Wtd ctr moms (395)
70,0,0,0,0,0,0,0,0,0,[gm] ,Norm ctr moms,396,[gm] Norm ctr moms (396)
71,0,0,0,0,0,0,0,0,0,[gm] ,Norm raw moms,397,[gm] Norm raw moms (397)
72,0,0,0,0,0,1,0,0,0,[gm] ,Hu invs,398,[gm] Hu invs (398)
73,0,0,0,0,0,0,0,0,0,[gm] ,Wtd Hu invs,399,[gm] Wtd Hu invs (399)
74,1,0,0,0,0,1,0,0,0,[neig] ,NumOfNeigs,400,[neig] NumOfNeigs (400)
75,1,0,0,0,0,1,0,0,0,[neig] ,PCTouching,401,[neig] PCTouching (401)
76,1,0,0,0,0,0,0,0,0,[neig] ,1st closest obj,402,[neig] 1st closest obj (402)
77,1,0,0,0,0,1,0,0,0,[neig] ,1st closest dist,403,[neig] 1st closest dist (403)
78,1,0,0,0,0,0,0,0,0,[neig] ,2nd closest obj no,404,[neig] 2nd closest obj no (404)
79,1,0,0,0,0,1,0,0,0,[neig] ,2nd closest dist,405,[neig] 2nd closest dist (405)
80,1,0,0,0,0,1,0,0,0,[neig] ,Ang bw neigs,406,[neig] Ang bw neigs (406)
81,1,0,0,0,0,0,0,0,0,[IMQ] ,blur FocScore,407,[IMQ] blur FocScore (407)
82,1,0,0,0,0,0,0,0,0,[IMQ] ,blur LocalFocScore,408,[IMQ] blur LocalFocScore (408)
83,1,0,0,0,0,0,0,0,0,[IMQ] ,blur Corr,409,[IMQ] blur Corr (409)
84,1,0,0,0,0,0,0,0,0,[IMQ] ,blur PowLogLogSlope,410,[IMQ] blur PowLogLogSlope (410)
85,1,0,0,0,0,0,0,0,0,[IMQ] ,sat PCMax,411,[IMQ] sat PCMax (411)
86,1,0,0,0,0,0,0,0,0,[IMQ] ,sat PCMin,412,[IMQ] sat PCMin (412)
87,1,0,0,0,0,0,0,0,0,[IMQ] ,int Tot I,413,[IMQ] int Tot I (413)
88,1,0,0,0,0,0,0,0,0,[IMQ] ,int Mean I,414,[IMQ] int Mean I (414)
89,1,0,0,0,0,0,0,0,0,[IMQ] ,int Med I,415,[IMQ] int Med I (415)
90,1,0,0,0,0,0,0,0,0,[IMQ] ,int Std I,416,[IMQ] int Std I (416)
91,1,0,0,0,0,0,0,0,0,[IMQ] ,int MAD I,417,[IMQ] int MAD I (417)
92,1,0,0,0,0,0,0,0,0,[IMQ] ,int Max I,418,[IMQ] int Max I (418)
93,1,0,0,0,0,0,0,0,0,[IMQ] ,int Min I,419,[IMQ] int Min I (419)
