FeatureName,Cellprofiler,Imea,MATLAB,MITK,NIST,Nyxus,PyRadiomics,RadiomicsJ,WC,Remark,fcode,Remark2
*,0,0,0,0,0,0,0,0,0,,,
1,0,0,0,1,0,1,0,1,0,[fo] Cvar,1,[fo] Cvar (1)
2,0,0,0,1,0,1,0,0,0,[fo] CIIR,2,[fo] CIIR (2)
3,1,0,0,0,0,1,0,0,0,[fo] EI min,3,[fo] EI min (3)
4,1,0,0,0,0,1,0,0,0,[fo] EI max,4,[fo] EI max (4)
5,1,0,0,0,0,1,0,0,0,[fo] EI mean,5,[fo] EI mean (5)
6,1,0,0,0,0,1,0,0,0,[fo] EI std,6,[fo] EI std (6)
7,0,0,0,1,1,1,1,1,1,[fo] Energy,7,[fo] Energy (7)
8,0,0,1,1,1,1,1,0,1,[fo] Entropy,8,[fo] Entropy (8)
9,0,0,0,1,0,1,0,0,0,[fo] Ex kurt,9,[fo] Ex kurt (9)
10,0,0,0,0,1,1,0,0,0,[fo] Hflat,10,[fo] Hflat (10)
11,0,0,0,0,1,1,0,0,0,[fo] Hskew,11,[fo] Hskew (11)
12,1,0,0,0,0,1,0,0,1,[fo] II,12,[fo] II (12)
13,1,0,0,0,0,1,0,0,1,[fo] IIE,13,[fo] IIE (13)
14,0,0,1,1,1,1,1,1,1,[fo] IQR,14,[fo] IQR (14)
15,0,0,1,1,1,1,1,1,1,[fo] Kurt,15,[fo] Kurt (15)
16,1,0,1,1,0,1,1,1,1,[fo] MAD,16,[fo] MAD (16)
17,1,0,1,1,0,1,1,1,1,[fo] Max,17,[fo] Max (17)
18,1,0,0,0,0,1,0,0,1,[fo] Max IE,18,[fo] Max IE (18)
19,1,0,0,0,0,1,0,0,1,[fo] MD,19,[fo] MD (19)
20,1,0,1,1,1,1,1,1,1,[fo] Mean,20,[fo] Mean (20)
21,1,0,1,1,1,1,1,1,1,[fo] Median,21,[fo] Median (21)
22,0,0,0,1,0,1,0,1,0,[fo] Med abs dev,22,[fo] Med abs dev (22)
23,1,0,1,1,0,1,1,1,1,[fo] Min,23,[fo] Min (23)
24,1,0,0,0,0,1,0,0,1,[fo] Min IE,24,[fo] Min IE (24)
25,0,0,1,1,1,1,0,0,1,[fo] Mode,25,[fo] Mode (25)
26,0,0,0,1,0,1,0,0,0,[fo] Mode probab,26,[fo] Mode probab (26)
27,1,0,1,1,0,1,1,1,1,[fo] Percentiles,27,[fo] Percentiles (27)
28,0,0,0,1,0,1,0,1,0,[fo] QCoD,28,[fo] QCoD (28)
29,0,0,1,1,0,1,1,1,1,[fo] Range,29,[fo] Range (29)
30,0,0,0,1,0,1,1,0,1,[fo] RMAD,30,[fo] RMAD (30)
31,0,0,0,1,0,1,0,0,0,[fo] Rmean,31,[fo] Rmean (31)
32,0,0,1,1,0,1,1,1,1,[fo] RMS,32,[fo] RMS (32)
33,0,0,1,0,0,1,0,1,1,[fo] SE,33,[fo] SE (33)
34,0,0,1,1,1,1,1,1,1,[fo] Skew,34,[fo] Skew (34)
35,1,0,1,1,1,1,1,1,1,[fo] STD,35,[fo] STD (35)
36,0,0,0,1,0,1,0,0,0,[fo] STD biased,36,[fo] STD biased (36)
37,0,0,0,1,0,1,1,0,0,[fo] Uni,37,[fo] Uni (37)
38,0,0,0,0,0,1,0,0,0,[fo] Uni PIU,38,[fo] Uni PIU (38)
39,0,0,1,1,0,1,1,1,1,[fo] Var,39,[fo] Var (39)
40,0,0,0,1,0,1,0,0,0,[fo] Var biased,40,[fo] Var biased (40)
41,1,0,1,0,0,1,0,0,1,[fo] WCX,41,[fo] WCX (41)
42,1,0,1,0,0,1,0,0,1,[fo] WCY,42,[fo] WCY (42)
43,0,0,0,1,0,0,0,0,0,[fo] histo features,43-87,[fo] histo features (43-87)
1,1,0,0,0,0,1,0,0,1,[m] Gabor,289,[m] Gabor (289)
2,1,0,0,0,0,1,0,0,0,[m] FracAtD,290,[m] FracAtD (290)
3,1,0,0,0,0,1,0,0,0,[m] MeanFrac,291,[m] MeanFrac (291)
4,1,0,0,0,0,1,0,0,0,[m] RadialCV,292,[m] RadialCV (292)
