FeatureName,Cellprofiler,Imea,MATLAB,MITK,NIST,Nyxus,PyRadiomics,RadiomicsJ,WC,Remark,fcode,Remark2
*,0,0,0,0,0,0,0,0,0,,--,
42,1,1,1,0,0,1,0,1,1,Area,88,Area (88)
43,0,1,0,0,0,0,0,0,0,Area projection,89,Area projection (89)
44,0,0,0,0,0,1,0,0,1,Aspect Ratio,90,Aspect Ratio (90)
45,0,0,1,0,0,1,0,1,1,BB Height,91,BB Height (91)
46,0,0,1,0,0,1,0,1,1,BB Width,92,BB Width (92)
47,0,0,1,0,0,1,0,0,1,B-Box X,93,B-Box X (93)
48,0,0,1,0,0,1,0,0,1,B-Box Y,94,B-Box Y (94)
49,1,0,1,0,0,1,0,0,1,Centroid X,95,Centroid X (95)
50,1,0,1,0,0,1,0,0,1,Centroid Y,96,Centroid Y (96)
51,1,0,1,0,0,1,0,1,1,"Circularity, formfactor",97,"Circularity, formfactor (97)"
52,1,0,0,0,0,1,0,0,1,Compactness,98,Compactness (98)
53,0,0,1,0,0,1,0,0,1,Convex hull area,99,Convex hull area (99)
54,0,1,0,0,0,0,0,0,0,Convex perimeter,100,Convex perimeter (100)
55,0,1,0,0,0,0,0,0,0,D max encl circle,101,D max encl circle (101)
56,0,1,0,0,0,1,0,0,1,D  min encl circle,102,D  min encl circle (102)
57,0,1,0,0,0,1,0,0,1,D circumscr circle,103,D circumscr circle (103)
58,0,1,0,0,0,1,0,0,1,D inscr circle,104,D inscr circle (104)
59,0,1,0,0,0,1,0,0,1,D equal area,105,D equal area (105)
60,0,1,0,0,0,1,0,0,1,D equal perimeter,106,D equal perimeter (106)
61,0,0,0,0,0,0,1,0,0,Dist from border,107,Dist from border (107)
62,1,0,1,0,0,1,0,0,1,Eccentricity,108,Eccentricity (108)
63,0,0,0,0,0,1,0,1,1,Elongation,109,Elongation (109)
64,0,0,1,0,0,1,0,0,1,Equiv D,110,Equiv D (110)
65,1,0,1,0,0,1,0,0,1,Extent,111,Extent (111)
66,0,0,1,0,0,1,0,0,0,Extrema,112,Extrema (112)
67,1,0,1,0,0,1,0,0,1,Euler number,113,Euler number (113)
68,0,1,0,0,0,1,0,0,1,Geodetic length,114,Geodetic length (114)
69,0,1,0,0,0,1,0,0,1,Geodetic thickness,115,Geodetic thickness (115)
70,1,1,1,0,0,1,0,1,1,Major axis length,116,Major axis length (116)
71,1,0,0,0,0,1,0,0,1,Mass displ,117,Mass displ (117)
72,1,0,0,0,0,1,0,0,1,Max R,118,Max R (118)
73,1,0,0,0,0,1,0,0,1,Median R,119,Median R (119)
74,0,0,0,0,0,1,0,0,1,Min R,120,Min R (120)
75,0,0,0,0,0,1,0,0,1,Mesh surface,121,Mesh surface (121)
76,1,1,1,0,0,1,0,1,1,Minor axis length,122,Minor axis length (122)
77,1,0,1,0,0,1,0,0,1,Orientation,123,Orientation (123)
78,1,0,1,0,0,1,0,1,1,Perimeter,124,Perimeter (124)
79,1,0,1,0,0,1,0,0,1,Solidity,125,Solidity (125)
80,1,0,0,0,0,0,0,0,0,Zernike shape f-s,126,Zernike shape f-s (126)
81,1,0,1,0,0,0,0,1,1,wcx,127,wcx (127)
82,1,0,1,0,0,0,0,1,1,wcy,128,wcy (128)
83,0,1,0,0,0,1,0,0,1,Eros to vanish,129,Eros to vanish (129)
84,0,1,0,0,0,1,0,0,1,Eros to vanish compl,130,Eros to vanish compl (130)
85,0,1,0,0,0,1,0,1,1,Fractal dim boxcnt,131,Fractal dim boxcnt (131)
86,0,1,0,0,0,1,0,0,1,Fractal dim perimeter,132,Fractal dim perimeter (132)
87,0,1,0,0,0,1,0,0,0,Feret D mode,133,Feret D mode (133)
88,0,1,0,0,0,1,0,0,0,Feret D STD,134,Feret D STD (134)
89,0,0,1,0,0,0,0,1,0,Feret max angle,135,Feret max angle (135)
90,1,0,1,0,0,1,0,0,0,Feret max coords,136,Feret max coords (136)
91,1,1,1,0,0,1,0,0,0,Feret max D,137,Feret max D (137)
92,0,1,0,0,0,1,0,0,0,Feret mean D,138,Feret mean D (138)
93,0,1,0,0,0,1,0,0,0,Feret median D,139,Feret median D (139)
94,0,0,1,0,0,0,0,0,0,Feret min angle,140,Feret min angle (140)
95,0,0,1,0,0,1,0,0,0,Feret min coords,141,Feret min coords (141)
96,1,1,1,0,0,1,0,0,0,Feret min D,142,Feret min D (142)
97,0,1,0,0,0,1,0,0,0,Martin max D,143,Martin max D (143)
98,0,1,0,0,0,1,0,0,0,Martin mean D,144,Martin mean D (144)
99,0,1,0,0,0,1,0,0,0,Martin median D,145,Martin median D (145)
100,0,1,0,0,0,1,0,0,0,Martin min D,146,Martin min D (146)
101,0,1,0,0,0,1,0,0,0,Martin D mode,147,Martin D mode (147)
102,0,1,0,0,0,1,0,0,0,Martin D STD,148,Martin D STD (148)
103,0,1,0,0,0,1,0,0,0,Nass max D,149,Nass max D (149)
104,0,1,0,0,0,1,0,0,0,Nass mean D,150,Nass mean D (150)
105,0,1,0,0,0,1,0,0,0,Nass median D,151,Nass median D (151)
106,0,1,0,0,0,1,0,0,0,Nass min D,152,Nass min D (152)
107,0,1,0,0,0,1,0,0,0,Nass D mode,153,Nass D mode (153)
108,0,1,0,0,0,1,0,0,0,Nass D STD,154,Nass D STD (154)
109,0,1,0,0,0,1,0,0,1,Maxchords max,155,Maxchords max (155)
110,0,1,0,0,0,1,0,0,1,Maxchords mean,156,Maxchords mean (156)
111,0,1,0,0,0,1,0,0,1,Maxchords median,157,Maxchords median (157)
112,0,1,0,0,0,1,0,0,1,Maxchords min,158,Maxchords min (158)
113,0,1,0,0,0,1,0,0,1,Maxchords mode,159,Maxchords mode (159)
114,0,1,0,0,0,1,0,0,1,Maxchords STD,160,Maxchords STD (160)
115,0,1,0,0,0,1,0,0,1,Allchords max,161,Allchords max (161)
116,0,1,0,0,0,1,0,0,1,Allchords mean,162,Allchords mean (162)
117,0,1,0,0,0,1,0,0,1,Allchords median,163,Allchords median (163)
118,0,1,0,0,0,1,0,0,1,Allchords min,164,Allchords min (164)
119,0,1,0,0,0,1,0,0,1,Allchords mode,165,Allchords mode (165)
120,0,1,0,0,0,1,0,0,1,Allchords STD,166,Allchords STD (166)
121,0,0,0,0,0,1,0,0,0,Raw moments,167,Raw moments (167)
122,0,0,0,0,0,1,0,0,0,Wtd raw moms,168,Wtd raw moms (168)
123,0,0,0,0,0,1,0,0,0,Central moments,169,Central moments (169)
124,0,0,0,0,0,1,0,0,0,Wtd central moms,170,Wtd central moms (170)
125,0,0,0,0,0,1,0,0,0,Norm central moms,171,Norm central moms (171)
126,0,0,0,0,0,1,0,0,0,Norm raw moms,172,Norm raw moms (172)
127,0,0,0,0,0,1,0,0,0,Hu invs,173,Hu invs (173)
128,0,0,0,0,0,1,0,0,0,Wtd Hu invs,174,Wtd Hu invs (174)
129,0,0,0,0,0,1,0,0,1,[patt] Hexagonality ave,175,[patt] Hexagonality ave (175)
130,0,0,0,0,0,1,0,0,1,[patt] Hexagonality STD,176,[patt] Hexagonality STD (176)
131,0,0,0,0,0,1,0,0,1,[patt] Polygonality ave,177,[patt] Polygonality ave (177)
