FeatureName,Cellprofiler,Imea,MATLAB,MITK,NIST,Nyxus,PyRadiomics,RadiomicsJ,WC,Remark,fcode,Remark2
*,0,0,0,0,0,0,0,0,0,*,*,*
1,1,0,0,0,0,1,1,1,1,GLCM ASM,178,GLCM ASM (178)
2,0,0,0,0,0,1,1,1,0,GLCM ACOR,179,GLCM ACOR (179)
3,0,0,0,0,1,1,0,0,1,GLCM AVEAMP,180,GLCM AVEAMP (180)
4,0,0,0,0,0,1,1,1,0,GLCM CLUPROM,181,GLCM CLUPROM (181)
5,0,0,0,0,0,1,1,1,0,GLCM CLUSHADE,182,GLCM CLUSHADE (182)
6,0,0,0,0,0,1,1,1,0,GLCM CLUTEND,183,GLCM CLUTEND (183)
7,1,0,1,0,1,1,1,1,1,GLCM CONTRAST,184,GLCM CONTRAST (184)
8,1,0,1,0,1,1,1,1,1,GLCM CORR,185,GLCM CORR (185)
9,0,0,0,0,1,1,1,1,0,GLCM DIFAVE,186,GLCM DIFAVE (186)
10,1,0,0,0,1,1,1,1,1,GLCM DIFENTRO,187,GLCM DIFENTRO (187)
11,1,0,0,0,1,1,1,1,1,GLCM DIFVAR,188,GLCM DIFVAR (188)
12,0,0,0,0,0,1,1,1,0,GLCM DIS,189,GLCM DIS (189)
13,0,0,1,0,1,1,1,0,0,GLCM ENERGY,190,GLCM ENERGY (190)
14,1,0,0,0,1,1,0,0,1,GLCM ENTRO,191,GLCM ENTRO (191)
15,0,0,1,0,1,1,1,0,0,GLCM HOM1,192,GLCM HOM1 (192)
16,0,0,0,0,0,1,1,0,0,GLCM HOM2,193,GLCM HOM2 (193)
17,1,0,0,0,1,1,1,1,1,GLCM IDM,194,GLCM IDM (194)
18,1,0,0,0,0,1,1,1,1,GLCM INFOMEAS1,195,GLCM INFOMEAS1 (195)
19,1,0,0,0,0,1,1,1,1,GLCM INFOMEAS2,196,GLCM INFOMEAS2 (196)
20,0,0,0,0,0,1,1,1,0,GLCM IDMN,197,GLCM IDMN (197)
21,0,0,0,0,0,1,1,1,0,GLCM ID,198,GLCM ID (198)
22,0,0,0,0,0,1,1,1,0,GLCM IDN,199,GLCM IDN (199)
23,0,0,0,0,0,1,1,1,0,GLCM IV,200,GLCM IV (200)
24,0,0,0,0,0,1,1,1,0,GLCM JAVE,201,GLCM JAVE (201)
25,0,0,0,0,0,1,1,1,0,GLCM JE,202,GLCM JE (202)
26,0,0,0,0,1,0.5,0,0,1,GLCM MAA,203,GLCM MAA (203)
27,0,0,0,0,1,0.5,0,0,1,GLCM MAINAMP,204,GLCM MAINAMP (204)
28,0,0,0,0,0,1,1,1,0,GLCM JMAX,205,GLCM JMAX (205)
29,0,0,0,0,0,0,1,0,0,GLCM MCC,206,GLCM MCC (206)
30,0,0,0,0,1,0.5,0,0,0,GLCM OA,207,GLCM OA (207)
31,1,0,0,0,1,1,1,1,1,GLCM SUMAVE,208,GLCM SUMAVE (208)
32,1,0,0,0,1,1,1,1,1,GLCM SUMENTRO,209,GLCM SUMENTRO (209)
33,0,0,0,0,0,1,1,1,0,GLCM JVAR,210,GLCM JVAR (210)
34,1,0,0,0,1,1,1,1,1,GLCM SUMVAR,211,GLCM SUMVAR (211)
35,1,0,0,0,1,1,0,0,1,GLCM VAR,212,GLCM VAR (212)
36,0,0,0,0,0,1,0,1,0,NGLDM DCENRG,213,NGLDM DCENRG (213)
37,0,0,0,0,0,1,1,1,0,NGLDM DCENT,214,NGLDM DCENT (214)
38,0,0,0,0,0,1,1,1,0,NGLDM DCNU,215,NGLDM DCNU (215)
39,0,0,0,0,0,1,1,1,0,NGLDM DCNUN,216,NGLDM DCNUN (216)
40,0,0,0,0,0,1,0,0,0,NGLDM DCM,217,NGLDM DCM (217)
41,0,0,0,0,0,1,1,1,0,NGLDM DCV,218,NGLDM DCV (218)
42,0,0,0,0,0,1,1,1,0,NGLDM GLNU,219,NGLDM GLNU (219)
43,0,0,0,0,0,1,0,1,0,NGLDM GLNUN,220,NGLDM GLNUN (220)
44,0,0,0,0,0,1,0,0,0,NGLDM GLM,221,NGLDM GLM (221)
45,0,0,0,0,0,1,1,1,0,NGLDM GLV,222,NGLDM GLV (222)
46,0,0,0,0,0,1,1,1,0,NGLDM HDE,223,NGLDM HDE (223)
47,0,0,0,0,0,1,1,1,0,NGLDM HDHGLE,224,NGLDM HDHGLE (224)
48,0,0,0,0,0,1,1,1,0,NGLDM HDLGLE,225,NGLDM HDLGLE (225)
49,0,0,0,0,0,1,1,1,0,NGLDM HGLCE,226,NGLDM HGLCE (226)
50,0,0,0,0,0,1,1,1,0,NGLDM LDE,227,NGLDM LDE (227)
51,0,0,0,0,0,1,1,1,0,NGLDM LDHGLE,228,NGLDM LDHGLE (228)
52,0,0,0,0,0,1,1,1,0,NGLDM LDLGLE,229,NGLDM LDLGLE (229)
53,0,0,0,0,0,1,1,1,0,NGLDM LGLCE,230,NGLDM LGLCE (230)
54,0,0,0,1,0,1,1,0,0,GLRLM GLNU,231,GLRLM GLNU (231)
55,0,0,0,1,0,1,1,0,0,GLRLM GLNUN,232,GLRLM GLNUN (232)
56,0,0,0,1,0,1,1,0,0,GLRLM GLV,233,GLRLM GLV (233)
57,0,0,0,1,0,1,1,0,0,GLRLM HGLRE,234,GLRLM HGLRE (234)
58,0,0,0,1,0,1,1,0,0,GLRLM LRE,235,GLRLM LRE (235)
59,0,0,0,1,0,1,1,0,0,GLRLM LRHGLE,236,GLRLM LRHGLE (236)
60,0,0,0,1,0,1,1,0,0,GLRLM LRLGLE,237,GLRLM LRLGLE (237)
61,0,0,0,1,0,1,1,0,0,GLRLM LGLRE,238,GLRLM LGLRE (238)
62,0,0,0,1,0,1,1,0,0,GLRLM RE,239,GLRLM RE (239)
63,0,0,0,1,0,1,1,0,0,GLRLM RLNU,240,GLRLM RLNU (240)
64,0,0,0,1,0,1,1,0,0,GLRLM RLNUN,241,GLRLM RLNUN (241)
65,0,0,0,1,0,1,1,0,0,GLRLM Run ZP,242,GLRLM Run ZP (242)
66,0,0,0,1,0,1,1,0,0,GLRLM RV,243,GLRLM RV (243)
67,0,0,0,1,0,1,1,0,0,GLRLM SRE,244,GLRLM SRE (244)
68,0,0,0,1,0,1,1,0,0,GLRLM SRHGLE,245,GLRLM SRHGLE (245)
69,0,0,0,1,0,1,1,0,0,GLRLM SRLGLE,246,GLRLM SRLGLE (246)
70,0,0,0,1,0,1,0,1,0,GLDZM GLNU,247,GLDZM GLNU (247)
71,0,0,0,1,0,1,0,1,0,GLDZM GLNUN,248,GLDZM GLNUN (248)
72,0,0,0,1,0,1,0,1,0,GLDZM GLV,249,GLDZM GLV (249)
73,0,0,0,1,0,1,0,1,0,GLDZM HGLZE,250,GLDZM HGLZE (250)
74,0,0,0,1,0,1,0,1,0,GLDZM LDE,251,GLDZM LDE (251)
75,0,0,0,1,0,1,0,1,0,GLDZM LDHGLE,252,GLDZM LDHGLE (252)
76,0,0,0,1,0,1,0,1,0,GLDZM LDLGLE,253,GLDZM LDLGLE (253)
77,0,0,0,1,0,1,0,1,0,GLDZM LGLZE,254,GLDZM LGLZE (254)
78,0,0,0,1,0,1,0,1,0,GLDZM SDE,255,GLDZM SDE (255)
79,0,0,0,1,0,1,0,1,0,GLDZM SDHGLE,256,GLDZM SDHGLE (256)
80,0,0,0,1,0,1,0,1,0,GLDZM SDLGLE,257,GLDZM SDLGLE (257)
81,0,0,0,1,0,1,0,1,0,GLDZM ZDE,258,GLDZM ZDE (258)
82,0,0,0,1,0,1,0,1,0,GLDZM ZDNU,259,GLDZM ZDNU (259)
83,0,0,0,1,0,1,0,1,0,GLDZM ZDNUN,260,GLDZM ZDNUN (260)
84,0,0,0,1,0,1,0,1,0,GLDZM ZDV,261,GLDZM ZDV (261)
85,0,0,0,1,0,1,0,1,0,GLDZM ZP,262,GLDZM ZP (262)
86,0,0,0,1,0,1,0,0,0,GLDZM GLM,263,GLDZM GLM (263)
87,0,0,0,1,0,1,0,0,0,GLDZM ZDM,264,GLDZM ZDM (264)
88,0,0,0,1,0,0,0,0,0,GLDZM GLE,265,GLDZM GLE (265)
89,0,0,0,1,0,1,1,1,0,GLSZM GLNU,266,GLSZM GLNU (266)
90,0,0,0,1,0,1,1,1,0,GLSZM GLNUN,267,GLSZM GLNUN (267)
91,0,0,0,1,0,1,1,1,0,GLSZM GLV,268,GLSZM GLV (268)
92,0,0,0,1,0,1,1,1,0,GLSZM HGLZE,269,GLSZM HGLZE (269)
93,0,0,0,1,0,1,1,1,0,GLSZM LAE,270,GLSZM LAE (270)
94,0,0,0,1,0,1,1,1,0,GLSZM LAHGLE,271,GLSZM LAHGLE (271)
95,0,0,0,1,0,1,1,1,0,GLSZM LALGLE,272,GLSZM LALGLE (272)
96,0,0,0,1,0,1,1,1,0,GLSZM LGLZE,273,GLSZM LGLZE (273)
97,0,0,0,1,0,1,1,1,0,GLSZM SZNU,274,GLSZM SZNU (274)
98,0,0,0,1,0,1,1,1,0,GLSZM SZNUN,275,GLSZM SZNUN (275)
99,0,0,0,1,0,1,1,1,0,GLSZM SAE,276,GLSZM SAE (276)
100,0,0,0,1,0,1,1,1,0,GLSZM SAHGLE,277,GLSZM SAHGLE (277)
101,0,0,0,1,0,1,1,1,0,GLSZM SALGLE,278,GLSZM SALGLE (278)
102,0,0,0,1,0,1,1,1,0,GLSZM ZE,279,GLSZM ZE (279)
103,0,0,0,1,0,1,1,1,0,GLSZM ZP,280,GLSZM ZP (280)
104,0,0,0,1,0,1,1,1,0,GLSZM ZV,281,GLSZM ZV (281)
105,0,0,0,1,0,0,0,0,0,GLSZM GLM,282,GLSZM GLM (282)
106,0,0,0,1,0,0,0,0,0,GLSZM ZSM,283,GLSZM ZSM (283)
107,0,0,0,0,0,1,1,1,0,NGTDM Busyn,284,NGTDM Busyn (284)
108,0,0,0,0,0,1,1,1,0,NGTDM Coars,285,NGTDM Coars (285)
109,0,0,0,0,0,1,1,1,0,NGTDM Compl,286,NGTDM Compl (286)
110,0,0,0,0,0,1,1,1,0,NGTDM Contrast,287,NGTDM Contrast (287)
111,0,0,0,0,0,1,1,1,0,NGTDM Strength,288,NGTDM Strength (288)
