,X,Y
,10,6.167945
1,15,6.186131
2,20,6.181286
3,25,6.184664
4,30,6.195599
5,35,6.193628
6,40,6.188481
7,45,6.186756
8,50,6.183815
9,55,6.183030
10,60,6.182063
11,65,6.180627
12,70,6.178684
13,75,6.176939
14,80,6.174701
15,85,6.172653
16,90,6.172970
17,95,6.170217
18,100,6.166829
19,105,6.164816
20,110,6.162635
21,115,6.160149
22,120,6.157864
23,125,6.156547
24,130,6.153928
25,135,6.153203
26,140,6.151563
27,145,6.150258
28,150,6.147667
29,155,6.145937
30,160,6.144834
31,165,6.143919
32,170,6.141721
33,175,6.141754
34,180,6.140407
35,185,6.138131
36,190,6.136576
37,195,6.135481
38,200,6.134088
